Sex;Nationality;Five-year age group;Periodo;Total
Both sexes;Total;Total;2021;528.856
Both sexes;Total;Total;2020;467.918
Both sexes;Total;Total;2019;750.480
Both sexes;Total;Total;2018;643.684
Both sexes;Total;Total;2017;532.132
Both sexes;Total;Total;2016;414.746
Both sexes;Total;Total;2015;342.114
Both sexes;Total;Total;2014;305.454
Both sexes;Total;Total;2013;280.772
Both sexes;Total;Total;2012;304.054
Both sexes;Total;Total;2011;371.335
Both sexes;Total;Total;2010;360.704
Both sexes;Total;Total;2009;392.963
Both sexes;Total;Total;2008;599.074
Both sexes;Total;From 0 to 4 years old;2021;25.069
Both sexes;Total;From 0 to 4 years old;2020;22.919
Both sexes;Total;From 0 to 4 years old;2019;38.364
Both sexes;Total;From 0 to 4 years old;2018;34.699
Both sexes;Total;From 0 to 4 years old;2017;31.252
Both sexes;Total;From 0 to 4 years old;2016;25.961
Both sexes;Total;From 0 to 4 years old;2015;21.501
Both sexes;Total;From 0 to 4 years old;2014;18.405
Both sexes;Total;From 0 to 4 years old;2013;16.991
Both sexes;Total;From 0 to 4 years old;2012;16.935
Both sexes;Total;From 0 to 4 years old;2011;20.593
Both sexes;Total;From 0 to 4 years old;2010;20.835
Both sexes;Total;From 0 to 4 years old;2009;21.745
Both sexes;Total;From 0 to 4 years old;2008;28.558
Both sexes;Total;From 5 to 9 years    ;2021;28.822
Both sexes;Total;From 5 to 9 years    ;2020;23.502
Both sexes;Total;From 5 to 9 years    ;2019;38.200
Both sexes;Total;From 5 to 9 years    ;2018;31.641
Both sexes;Total;From 5 to 9 years    ;2017;26.318
Both sexes;Total;From 5 to 9 years    ;2016;20.893
Both sexes;Total;From 5 to 9 years    ;2015;16.650
Both sexes;Total;From 5 to 9 years    ;2014;14.530
Both sexes;Total;From 5 to 9 years    ;2013;13.400
Both sexes;Total;From 5 to 9 years    ;2012;14.026
Both sexes;Total;From 5 to 9 years    ;2011;17.440
Both sexes;Total;From 5 to 9 years    ;2010;17.872
Both sexes;Total;From 5 to 9 years    ;2009;20.812
Both sexes;Total;From 5 to 9 years    ;2008;31.428
Both sexes;Total;From 10 to 14 years  ;2021;26.574
Both sexes;Total;From 10 to 14 years  ;2020;21.514
Both sexes;Total;From 10 to 14 years  ;2019;34.446
Both sexes;Total;From 10 to 14 years  ;2018;29.067
Both sexes;Total;From 10 to 14 years  ;2017;25.469
Both sexes;Total;From 10 to 14 years  ;2016;21.340
Both sexes;Total;From 10 to 14 years  ;2015;17.319
Both sexes;Total;From 10 to 14 years  ;2014;16.390
Both sexes;Total;From 10 to 14 years  ;2013;15.650
Both sexes;Total;From 10 to 14 years  ;2012;16.260
Both sexes;Total;From 10 to 14 years  ;2011;19.531
Both sexes;Total;From 10 to 14 years  ;2010;19.448
Both sexes;Total;From 10 to 14 years  ;2009;23.168
Both sexes;Total;From 10 to 14 years  ;2008;35.213
Both sexes;Total;From 15 to 19 years  ;2021;39.802
Both sexes;Total;From 15 to 19 years  ;2020;32.999
Both sexes;Total;From 15 to 19 years  ;2019;55.730
Both sexes;Total;From 15 to 19 years  ;2018;48.015
Both sexes;Total;From 15 to 19 years  ;2017;39.724
Both sexes;Total;From 15 to 19 years  ;2016;31.601
Both sexes;Total;From 15 to 19 years  ;2015;25.793
Both sexes;Total;From 15 to 19 years  ;2014;23.559
Both sexes;Total;From 15 to 19 years  ;2013;22.718
Both sexes;Total;From 15 to 19 years  ;2012;24.365
Both sexes;Total;From 15 to 19 years  ;2011;29.346
Both sexes;Total;From 15 to 19 years  ;2010;29.018
Both sexes;Total;From 15 to 19 years  ;2009;34.667
Both sexes;Total;From 15 to 19 years  ;2008;51.385
Both sexes;Total;From 20 to 24 years;2021;62.620
Both sexes;Total;From 20 to 24 years;2020;56.304
Both sexes;Total;From 20 to 24 years;2019;94.423
Both sexes;Total;From 20 to 24 years;2018;82.452
Both sexes;Total;From 20 to 24 years;2017;68.195
Both sexes;Total;From 20 to 24 years;2016;50.650
Both sexes;Total;From 20 to 24 years;2015;42.721
Both sexes;Total;From 20 to 24 years;2014;39.326
Both sexes;Total;From 20 to 24 years;2013;37.083
Both sexes;Total;From 20 to 24 years;2012;42.537
Both sexes;Total;From 20 to 24 years;2011;52.800
Both sexes;Total;From 20 to 24 years;2010;52.272
Both sexes;Total;From 20 to 24 years;2009;57.255
Both sexes;Total;From 20 to 24 years;2008;91.684
Both sexes;Total;From 25 to 29 years  ;2021;73.345
Both sexes;Total;From 25 to 29 years  ;2020;68.365
Both sexes;Total;From 25 to 29 years  ;2019;112.237
Both sexes;Total;From 25 to 29 years  ;2018;96.991
Both sexes;Total;From 25 to 29 years  ;2017;80.445
Both sexes;Total;From 25 to 29 years  ;2016;59.660
Both sexes;Total;From 25 to 29 years  ;2015;48.958
Both sexes;Total;From 25 to 29 years  ;2014;43.305
Both sexes;Total;From 25 to 29 years  ;2013;39.197
Both sexes;Total;From 25 to 29 years  ;2012;44.738
Both sexes;Total;From 25 to 29 years  ;2011;57.319
Both sexes;Total;From 25 to 29 years  ;2010;56.333
Both sexes;Total;From 25 to 29 years  ;2009;62.947
Both sexes;Total;From 25 to 29 years  ;2008;102.955
Both sexes;Total;From 30 to 34 years old;2021;61.596
Both sexes;Total;From 30 to 34 years old;2020;57.660
Both sexes;Total;From 30 to 34 years old;2019;92.474
Both sexes;Total;From 30 to 34 years old;2018;78.406
Both sexes;Total;From 30 to 34 years old;2017;62.758
Both sexes;Total;From 30 to 34 years old;2016;47.640
Both sexes;Total;From 30 to 34 years old;2015;39.536
Both sexes;Total;From 30 to 34 years old;2014;34.205
Both sexes;Total;From 30 to 34 years old;2013;31.222
Both sexes;Total;From 30 to 34 years old;2012;34.727
Both sexes;Total;From 30 to 34 years old;2011;44.230
Both sexes;Total;From 30 to 34 years old;2010;43.197
Both sexes;Total;From 30 to 34 years old;2009;47.286
Both sexes;Total;From 30 to 34 years old;2008;76.648
Both sexes;Total;From 35 to 39 years old;2021;46.640
Both sexes;Total;From 35 to 39 years old;2020;44.041
Both sexes;Total;From 35 to 39 years old;2019;70.765
Both sexes;Total;From 35 to 39 years old;2018;59.885
Both sexes;Total;From 35 to 39 years old;2017;47.813
Both sexes;Total;From 35 to 39 years old;2016;36.963
Both sexes;Total;From 35 to 39 years old;2015;30.353
Both sexes;Total;From 35 to 39 years old;2014;26.193
Both sexes;Total;From 35 to 39 years old;2013;23.671
Both sexes;Total;From 35 to 39 years old;2012;25.386
Both sexes;Total;From 35 to 39 years old;2011;31.493
Both sexes;Total;From 35 to 39 years old;2010;30.769
Both sexes;Total;From 35 to 39 years old;2009;33.130
Both sexes;Total;From 35 to 39 years old;2008;54.305
Both sexes;Total;From 40 to 44 years  ;2021;36.765
Both sexes;Total;From 40 to 44 years  ;2020;34.121
Both sexes;Total;From 40 to 44 years  ;2019;53.873
Both sexes;Total;From 40 to 44 years  ;2018;44.857
Both sexes;Total;From 40 to 44 years  ;2017;35.950
Both sexes;Total;From 40 to 44 years  ;2016;28.279
Both sexes;Total;From 40 to 44 years  ;2015;23.263
Both sexes;Total;From 40 to 44 years  ;2014;20.748
Both sexes;Total;From 40 to 44 years  ;2013;18.282
Both sexes;Total;From 40 to 44 years  ;2012;19.832
Both sexes;Total;From 40 to 44 years  ;2011;24.426
Both sexes;Total;From 40 to 44 years  ;2010;23.167
Both sexes;Total;From 40 to 44 years  ;2009;24.377
Both sexes;Total;From 40 to 44 years  ;2008;38.134
Both sexes;Total;From 45 to 49 years old;2021;28.749
Both sexes;Total;From 45 to 49 years old;2020;26.442
Both sexes;Total;From 45 to 49 years old;2019;41.445
Both sexes;Total;From 45 to 49 years old;2018;34.768
Both sexes;Total;From 45 to 49 years old;2017;28.075
Both sexes;Total;From 45 to 49 years old;2016;22.306
Both sexes;Total;From 45 to 49 years old;2015;18.218
Both sexes;Total;From 45 to 49 years old;2014;16.164
Both sexes;Total;From 45 to 49 years old;2013;14.772
Both sexes;Total;From 45 to 49 years old;2012;15.466
Both sexes;Total;From 45 to 49 years old;2011;18.349
Both sexes;Total;From 45 to 49 years old;2010;17.056
Both sexes;Total;From 45 to 49 years old;2009;17.223
Both sexes;Total;From 45 to 49 years old;2008;26.464
Both sexes;Total;From 50 to 54 years old;2021;24.511
Both sexes;Total;From 50 to 54 years old;2020;21.236
Both sexes;Total;From 50 to 54 years old;2019;32.495
Both sexes;Total;From 50 to 54 years old;2018;27.683
Both sexes;Total;From 50 to 54 years old;2017;22.410
Both sexes;Total;From 50 to 54 years old;2016;17.729
Both sexes;Total;From 50 to 54 years old;2015;14.501
Both sexes;Total;From 50 to 54 years old;2014;12.968
Both sexes;Total;From 50 to 54 years old;2013;11.543
Both sexes;Total;From 50 to 54 years old;2012;11.900
Both sexes;Total;From 50 to 54 years old;2011;14.430
Both sexes;Total;From 50 to 54 years old;2010;13.391
Both sexes;Total;From 50 to 54 years old;2009;13.323
Both sexes;Total;From 50 to 54 years old;2008;18.568
Both sexes;Total;From 55 to 59 years old;2021;21.451
Both sexes;Total;From 55 to 59 years old;2020;18.453
Both sexes;Total;From 55 to 59 years old;2019;26.511
Both sexes;Total;From 55 to 59 years old;2018;22.116
Both sexes;Total;From 55 to 59 years old;2017;17.935
Both sexes;Total;From 55 to 59 years old;2016;14.775
Both sexes;Total;From 55 to 59 years old;2015;11.968
Both sexes;Total;From 55 to 59 years old;2014;10.796
Both sexes;Total;From 55 to 59 years old;2013;9.803
Both sexes;Total;From 55 to 59 years old;2012;10.534
Both sexes;Total;From 55 to 59 years old;2011;11.947
Both sexes;Total;From 55 to 59 years old;2010;10.867
Both sexes;Total;From 55 to 59 years old;2009;10.800
Both sexes;Total;From 55 to 59 years old;2008;14.177
Both sexes;Total;From 60 to 64 years old;2021;17.983
Both sexes;Total;From 60 to 64 years old;2020;15.051
Both sexes;Total;From 60 to 64 years old;2019;21.346
Both sexes;Total;From 60 to 64 years old;2018;19.043
Both sexes;Total;From 60 to 64 years old;2017;16.287
Both sexes;Total;From 60 to 64 years old;2016;13.016
Both sexes;Total;From 60 to 64 years old;2015;11.130
Both sexes;Total;From 60 to 64 years old;2014;10.225
Both sexes;Total;From 60 to 64 years old;2013;9.545
Both sexes;Total;From 60 to 64 years old;2012;10.236
Both sexes;Total;From 60 to 64 years old;2011;11.703
Both sexes;Total;From 60 to 64 years old;2010;10.741
Both sexes;Total;From 60 to 64 years old;2009;10.615
Both sexes;Total;From 60 to 64 years old;2008;12.550
Both sexes;Total;From 65 to 69 years old;2021;14.652
Both sexes;Total;From 65 to 69 years old;2020;11.717
Both sexes;Total;From 65 to 69 years old;2019;17.229
Both sexes;Total;From 65 to 69 years old;2018;15.289
Both sexes;Total;From 65 to 69 years old;2017;13.482
Both sexes;Total;From 65 to 69 years old;2016;10.908
Both sexes;Total;From 65 to 69 years old;2015;9.264
Both sexes;Total;From 65 to 69 years old;2014;8.812
Both sexes;Total;From 65 to 69 years old;2013;8.033
Both sexes;Total;From 65 to 69 years old;2012;8.195
Both sexes;Total;From 65 to 69 years old;2011;8.620
Both sexes;Total;From 65 to 69 years old;2010;7.698
Both sexes;Total;From 65 to 69 years old;2009;7.696
Both sexes;Total;From 65 to 69 years old;2008;8.276
Both sexes;Total;From 70 to 74 years  ;2021;9.686
Both sexes;Total;From 70 to 74 years  ;2020;6.759
Both sexes;Total;From 70 to 74 years  ;2019;10.412
Both sexes;Total;From 70 to 74 years  ;2018;9.253
Both sexes;Total;From 70 to 74 years  ;2017;7.684
Both sexes;Total;From 70 to 74 years  ;2016;6.014
Both sexes;Total;From 70 to 74 years  ;2015;5.201
Both sexes;Total;From 70 to 74 years  ;2014;4.662
Both sexes;Total;From 70 to 74 years  ;2013;4.216
Both sexes;Total;From 70 to 74 years  ;2012;4.357
Both sexes;Total;From 70 to 74 years  ;2011;4.651
Both sexes;Total;From 70 to 74 years  ;2010;4.101
Both sexes;Total;From 70 to 74 years  ;2009;4.066
Both sexes;Total;From 70 to 74 years  ;2008;4.518
Both sexes;Total;From 75 to 79 years  ;2021;5.428
Both sexes;Total;From 75 to 79 years  ;2020;3.375
Both sexes;Total;From 75 to 79 years  ;2019;5.459
Both sexes;Total;From 75 to 79 years  ;2018;4.757
Both sexes;Total;From 75 to 79 years  ;2017;4.246
Both sexes;Total;From 75 to 79 years  ;2016;3.494
Both sexes;Total;From 75 to 79 years  ;2015;2.868
Both sexes;Total;From 75 to 79 years  ;2014;2.492
Both sexes;Total;From 75 to 79 years  ;2013;2.316
Both sexes;Total;From 75 to 79 years  ;2012;2.387
Both sexes;Total;From 75 to 79 years  ;2011;2.466
Both sexes;Total;From 75 to 79 years  ;2010;2.276
Both sexes;Total;From 75 to 79 years  ;2009;2.172
Both sexes;Total;From 75 to 79 years  ;2008;2.412
Both sexes;Total;From 80 to 84 years  ;2021;2.780
Both sexes;Total;From 80 to 84 years  ;2020;1.819
Both sexes;Total;From 80 to 84 years  ;2019;2.870
Both sexes;Total;From 80 to 84 years  ;2018;2.703
Both sexes;Total;From 80 to 84 years  ;2017;2.431
Both sexes;Total;From 80 to 84 years  ;2016;2.006
Both sexes;Total;From 80 to 84 years  ;2015;1.614
Both sexes;Total;From 80 to 84 years  ;2014;1.407
Both sexes;Total;From 80 to 84 years  ;2013;1.355
Both sexes;Total;From 80 to 84 years  ;2012;1.217
Both sexes;Total;From 80 to 84 years  ;2011;1.302
Both sexes;Total;From 80 to 84 years  ;2010;1.044
Both sexes;Total;From 80 to 84 years  ;2009;1.084
Both sexes;Total;From 80 to 84 years  ;2008;1.151
Both sexes;Total;From 85 to 89 years  ;2021;1.316
Both sexes;Total;From 85 to 89 years  ;2020;880
Both sexes;Total;From 85 to 89 years  ;2019;1.450
Both sexes;Total;From 85 to 89 years  ;2018;1.346
Both sexes;Total;From 85 to 89 years  ;2017;1.145
Both sexes;Total;From 85 to 89 years  ;2016;978
Both sexes;Total;From 85 to 89 years  ;2015;756
Both sexes;Total;From 85 to 89 years  ;2014;741
Both sexes;Total;From 85 to 89 years  ;2013;603
Both sexes;Total;From 85 to 89 years  ;2012;546
Both sexes;Total;From 85 to 89 years  ;2011;519
Both sexes;Total;From 85 to 89 years  ;2010;422
Both sexes;Total;From 85 to 89 years  ;2009;433
Both sexes;Total;From 85 to 89 years  ;2008;488
Both sexes;Total;90 years old and over;2021;1.067
Both sexes;Total;90 years old and over;2020;761
Both sexes;Total;90 years old and over;2019;751
Both sexes;Total;90 years old and over;2018;713
Both sexes;Total;90 years old and over;2017;513
Both sexes;Total;90 years old and over;2016;533
Both sexes;Total;90 years old and over;2015;499
Both sexes;Total;90 years old and over;2014;523
Both sexes;Total;90 years old and over;2013;370
Both sexes;Total;90 years old and over;2012;410
Both sexes;Total;90 years old and over;2011;171
Both sexes;Total;90 years old and over;2010;197
Both sexes;Total;90 years old and over;2009;165
Both sexes;Total;90 years old and over;2008;161
Both sexes;Spanish ;Total;2021;72.283
Both sexes;Spanish ;Total;2020;52.768
Both sexes;Spanish ;Total;2019;84.458
Both sexes;Spanish ;Total;2018;83.686
Both sexes;Spanish ;Total;2017;78.182
Both sexes;Spanish ;Total;2016;62.573
Both sexes;Spanish ;Total;2015;52.109
Both sexes;Spanish ;Total;2014;40.968
Both sexes;Spanish ;Total;2013;32.422
Both sexes;Spanish ;Total;2012;31.565
Both sexes;Spanish ;Total;2011;35.442
Both sexes;Spanish ;Total;2010;30.418
Both sexes;Spanish ;Total;2009;27.596
Both sexes;Spanish ;Total;2008;31.701
Both sexes;Spanish ;From 0 to 4 years old;2021;5.540
Both sexes;Spanish ;From 0 to 4 years old;2020;4.447
Both sexes;Spanish ;From 0 to 4 years old;2019;6.940
Both sexes;Spanish ;From 0 to 4 years old;2018;7.212
Both sexes;Spanish ;From 0 to 4 years old;2017;6.714
Both sexes;Spanish ;From 0 to 4 years old;2016;6.196
Both sexes;Spanish ;From 0 to 4 years old;2015;5.260
Both sexes;Spanish ;From 0 to 4 years old;2014;3.956
Both sexes;Spanish ;From 0 to 4 years old;2013;3.173
Both sexes;Spanish ;From 0 to 4 years old;2012;3.153
Both sexes;Spanish ;From 0 to 4 years old;2011;3.616
Both sexes;Spanish ;From 0 to 4 years old;2010;3.370
Both sexes;Spanish ;From 0 to 4 years old;2009;3.333
Both sexes;Spanish ;From 0 to 4 years old;2008;3.874
Both sexes;Spanish ;From 5 to 9 years    ;2021;4.607
Both sexes;Spanish ;From 5 to 9 years    ;2020;3.590
Both sexes;Spanish ;From 5 to 9 years    ;2019;5.664
Both sexes;Spanish ;From 5 to 9 years    ;2018;5.924
Both sexes;Spanish ;From 5 to 9 years    ;2017;5.772
Both sexes;Spanish ;From 5 to 9 years    ;2016;4.429
Both sexes;Spanish ;From 5 to 9 years    ;2015;3.526
Both sexes;Spanish ;From 5 to 9 years    ;2014;2.638
Both sexes;Spanish ;From 5 to 9 years    ;2013;2.020
Both sexes;Spanish ;From 5 to 9 years    ;2012;1.933
Both sexes;Spanish ;From 5 to 9 years    ;2011;2.061
Both sexes;Spanish ;From 5 to 9 years    ;2010;1.848
Both sexes;Spanish ;From 5 to 9 years    ;2009;1.695
Both sexes;Spanish ;From 5 to 9 years    ;2008;1.862
Both sexes;Spanish ;From 10 to 14 years  ;2021;4.606
Both sexes;Spanish ;From 10 to 14 years  ;2020;3.447
Both sexes;Spanish ;From 10 to 14 years  ;2019;5.488
Both sexes;Spanish ;From 10 to 14 years  ;2018;5.499
Both sexes;Spanish ;From 10 to 14 years  ;2017;5.576
Both sexes;Spanish ;From 10 to 14 years  ;2016;4.255
Both sexes;Spanish ;From 10 to 14 years  ;2015;3.213
Both sexes;Spanish ;From 10 to 14 years  ;2014;2.614
Both sexes;Spanish ;From 10 to 14 years  ;2013;1.969
Both sexes;Spanish ;From 10 to 14 years  ;2012;1.789
Both sexes;Spanish ;From 10 to 14 years  ;2011;1.782
Both sexes;Spanish ;From 10 to 14 years  ;2010;1.525
Both sexes;Spanish ;From 10 to 14 years  ;2009;1.283
Both sexes;Spanish ;From 10 to 14 years  ;2008;1.424
Both sexes;Spanish ;From 15 to 19 years  ;2021;6.244
Both sexes;Spanish ;From 15 to 19 years  ;2020;4.305
Both sexes;Spanish ;From 15 to 19 years  ;2019;7.080
Both sexes;Spanish ;From 15 to 19 years  ;2018;7.121
Both sexes;Spanish ;From 15 to 19 years  ;2017;6.430
Both sexes;Spanish ;From 15 to 19 years  ;2016;5.024
Both sexes;Spanish ;From 15 to 19 years  ;2015;3.761
Both sexes;Spanish ;From 15 to 19 years  ;2014;2.840
Both sexes;Spanish ;From 15 to 19 years  ;2013;2.328
Both sexes;Spanish ;From 15 to 19 years  ;2012;2.072
Both sexes;Spanish ;From 15 to 19 years  ;2011;2.041
Both sexes;Spanish ;From 15 to 19 years  ;2010;1.715
Both sexes;Spanish ;From 15 to 19 years  ;2009;1.561
Both sexes;Spanish ;From 15 to 19 years  ;2008;1.820
Both sexes;Spanish ;From 20 to 24 years;2021;6.075
Both sexes;Spanish ;From 20 to 24 years;2020;4.163
Both sexes;Spanish ;From 20 to 24 years;2019;7.143
Both sexes;Spanish ;From 20 to 24 years;2018;7.018
Both sexes;Spanish ;From 20 to 24 years;2017;6.449
Both sexes;Spanish ;From 20 to 24 years;2016;4.758
Both sexes;Spanish ;From 20 to 24 years;2015;3.690
Both sexes;Spanish ;From 20 to 24 years;2014;2.574
Both sexes;Spanish ;From 20 to 24 years;2013;1.928
Both sexes;Spanish ;From 20 to 24 years;2012;1.796
Both sexes;Spanish ;From 20 to 24 years;2011;2.094
Both sexes;Spanish ;From 20 to 24 years;2010;1.858
Both sexes;Spanish ;From 20 to 24 years;2009;1.811
Both sexes;Spanish ;From 20 to 24 years;2008;2.254
Both sexes;Spanish ;From 25 to 29 years  ;2021;6.238
Both sexes;Spanish ;From 25 to 29 years  ;2020;4.373
Both sexes;Spanish ;From 25 to 29 years  ;2019;7.042
Both sexes;Spanish ;From 25 to 29 years  ;2018;6.685
Both sexes;Spanish ;From 25 to 29 years  ;2017;6.323
Both sexes;Spanish ;From 25 to 29 years  ;2016;5.141
Both sexes;Spanish ;From 25 to 29 years  ;2015;4.205
Both sexes;Spanish ;From 25 to 29 years  ;2014;3.201
Both sexes;Spanish ;From 25 to 29 years  ;2013;2.059
