País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;Total;Total;Ambos Sexos;2022;1.258.894
Total;Total;Total;Ambos Sexos;2021;887.960
Total;Total;Total;Hombre;2022;626.804
Total;Total;Total;Hombre;2021;467.162
Total;Total;Total;Mujer;2022;632.090
Total;Total;Total;Mujer;2021;420.798
Total;Total;De 0 a 15 años;Ambos Sexos;2022;207.299
Total;Total;De 0 a 15 años;Ambos Sexos;2021;124.611
Total;Total;De 0 a 15 años;Hombre;2022;106.386
Total;Total;De 0 a 15 años;Hombre;2021;64.772
Total;Total;De 0 a 15 años;Mujer;2022;100.913
Total;Total;De 0 a 15 años;Mujer;2021;59.839
Total;Total;De 16 a 24 años;Ambos Sexos;2022;210.317
Total;Total;De 16 a 24 años;Ambos Sexos;2021;147.217
Total;Total;De 16 a 24 años;Hombre;2022;109.897
Total;Total;De 16 a 24 años;Hombre;2021;80.413
Total;Total;De 16 a 24 años;Mujer;2022;100.420
Total;Total;De 16 a 24 años;Mujer;2021;66.804
Total;Total;De 25 a 34 años;Ambos Sexos;2022;309.992
Total;Total;De 25 a 34 años;Ambos Sexos;2021;211.368
Total;Total;De 25 a 34 años;Hombre;2022;156.898
Total;Total;De 25 a 34 años;Hombre;2021;112.002
Total;Total;De 25 a 34 años;Mujer;2022;153.094
Total;Total;De 25 a 34 años;Mujer;2021;99.366
Total;Total;De 35 a 44 años;Ambos Sexos;2022;231.791
Total;Total;De 35 a 44 años;Ambos Sexos;2021;158.353
Total;Total;De 35 a 44 años;Hombre;2022;115.060
Total;Total;De 35 a 44 años;Hombre;2021;84.984
Total;Total;De 35 a 44 años;Mujer;2022;116.731
Total;Total;De 35 a 44 años;Mujer;2021;73.369
Total;Total;De 45 a 54 años;Ambos Sexos;2022;146.820
Total;Total;De 45 a 54 años;Ambos Sexos;2021;111.281
Total;Total;De 45 a 54 años;Hombre;2022;71.517
Total;Total;De 45 a 54 años;Hombre;2021;59.411
Total;Total;De 45 a 54 años;Mujer;2022;75.303
Total;Total;De 45 a 54 años;Mujer;2021;51.870
Total;Total;De 55 a 64 años;Ambos Sexos;2022;87.861
Total;Total;De 55 a 64 años;Ambos Sexos;2021;73.512
Total;Total;De 55 a 64 años;Hombre;2022;39.728
Total;Total;De 55 a 64 años;Hombre;2021;36.620
Total;Total;De 55 a 64 años;Mujer;2022;48.133
Total;Total;De 55 a 64 años;Mujer;2021;36.892
Total;Total;De 65 y más años;Ambos Sexos;2022;64.814
Total;Total;De 65 y más años;Ambos Sexos;2021;61.618
Total;Total;De 65 y más años;Hombre;2022;27.318
Total;Total;De 65 y más años;Hombre;2021;28.960
Total;Total;De 65 y más años;Mujer;2022;37.496
Total;Total;De 65 y más años;Mujer;2021;32.658
Total;Española;Total;Ambos Sexos;2022;138.420
Total;Española;Total;Ambos Sexos;2021;135.651
Total;Española;Total;Hombre;2022;73.047
Total;Española;Total;Hombre;2021;72.792
Total;Española;Total;Mujer;2022;65.373
Total;Española;Total;Mujer;2021;62.859
Total;Española;De 0 a 15 años;Ambos Sexos;2022;30.565
