Nacionalidad;Sexo;Año;Total
TOTAL EXTRANJEROS;Ambos sexos;2022;5.542.932
TOTAL EXTRANJEROS;Ambos sexos;2021;5.440.148
TOTAL EXTRANJEROS;Ambos sexos;2020;5.434.153
TOTAL EXTRANJEROS;Ambos sexos;2019;5.036.878
TOTAL EXTRANJEROS;Ambos sexos;2018;4.734.691
TOTAL EXTRANJEROS;Ambos sexos;2017;4.572.807
TOTAL EXTRANJEROS;Ambos sexos;2016;4.618.581
TOTAL EXTRANJEROS;Ambos sexos;2015;4.729.644
TOTAL EXTRANJEROS;Ambos sexos;2014;5.023.487
TOTAL EXTRANJEROS;Ambos sexos;2013;5.546.238
TOTAL EXTRANJEROS;Ambos sexos;2012;5.736.258
TOTAL EXTRANJEROS;Ambos sexos;2011;5.751.487
TOTAL EXTRANJEROS;Ambos sexos;2010;5.747.734
TOTAL EXTRANJEROS;Ambos sexos;2009;5.648.671
TOTAL EXTRANJEROS;Ambos sexos;2008;5.268.762
TOTAL EXTRANJEROS;Ambos sexos;2007;4.519.554
TOTAL EXTRANJEROS;Ambos sexos;2006;4.144.166
TOTAL EXTRANJEROS;Ambos sexos;2005;3.730.610
TOTAL EXTRANJEROS;Ambos sexos;2004;3.034.326
TOTAL EXTRANJEROS;Ambos sexos;2003;2.664.168
TOTAL EXTRANJEROS;Ambos sexos;2002;1.977.946
TOTAL EXTRANJEROS;Ambos sexos;2001;1.370.657
TOTAL EXTRANJEROS;Ambos sexos;2000;923.879
TOTAL EXTRANJEROS;Ambos sexos;1999;748.954
TOTAL EXTRANJEROS;Ambos sexos;1998;637.085
TOTAL EXTRANJEROS;Hombres;2022;2.778.214
TOTAL EXTRANJEROS;Hombres;2021;2.725.152
TOTAL EXTRANJEROS;Hombres;2020;2.719.877
TOTAL EXTRANJEROS;Hombres;2019;2.520.145
TOTAL EXTRANJEROS;Hombres;2018;2.373.878
TOTAL EXTRANJEROS;Hombres;2017;2.305.105
TOTAL EXTRANJEROS;Hombres;2016;2.341.506
TOTAL EXTRANJEROS;Hombres;2015;2.409.627
TOTAL EXTRANJEROS;Hombres;2014;2.570.247
TOTAL EXTRANJEROS;Hombres;2013;2.854.720
TOTAL EXTRANJEROS;Hombres;2012;2.975.508
TOTAL EXTRANJEROS;Hombres;2011;2.998.707
TOTAL EXTRANJEROS;Hombres;2010;3.017.935
TOTAL EXTRANJEROS;Hombres;2009;2.992.636
TOTAL EXTRANJEROS;Hombres;2008;2.802.673
TOTAL EXTRANJEROS;Hombres;2007;2.395.685
TOTAL EXTRANJEROS;Hombres;2006;2.215.469
TOTAL EXTRANJEROS;Hombres;2005;1.992.034
TOTAL EXTRANJEROS;Hombres;2004;1.605.723
TOTAL EXTRANJEROS;Hombres;2003;1.414.750
TOTAL EXTRANJEROS;Hombres;2002;1.048.178
TOTAL EXTRANJEROS;Hombres;2001;716.837
TOTAL EXTRANJEROS;Hombres;2000;471.465
TOTAL EXTRANJEROS;Hombres;1999;379.336
