Nationality code,Year,Liberal democracy index,Deliberative democracy index
DZA,2008,0.164,0.249
DZA,2009,0.163,0.246
DZA,2010,0.162,0.25
DZA,2011,0.162,0.25
DZA,2012,0.165,0.252
DZA,2013,0.168,0.236
DZA,2014,0.168,0.237
DZA,2015,0.171,0.238
DZA,2016,0.163,0.224
DZA,2017,0.158,0.234
DZA,2018,0.162,0.22
DZA,2019,0.148,0.2
DZA,2020,0.149,0.196
DZA,2021,0.137,0.188
DZA,2022,0.12,0.181
ARG,2008,0.605,0.567
ARG,2009,0.601,0.573
ARG,2010,0.589,0.556
ARG,2011,0.585,0.557
ARG,2012,0.587,0.561
ARG,2013,0.598,0.574
ARG,2014,0.605,0.577
ARG,2015,0.598,0.566
ARG,2016,0.62,0.599
ARG,2017,0.614,0.582
ARG,2018,0.641,0.612
ARG,2019,0.631,0.602
ARG,2020,0.654,0.659
ARG,2021,0.656,0.647
ARG,2022,0.659,0.643
BRA,2008,0.77,0.801
BRA,2009,0.77,0.801
BRA,2010,0.778,0.803
BRA,2011,0.785,0.804
BRA,2012,0.782,0.802
BRA,2013,0.79,0.817
BRA,2014,0.789,0.812
BRA,2015,0.779,0.8
BRA,2016,0.659,0.567
BRA,2017,0.644,0.569
BRA,2018,0.612,0.52
BRA,2019,0.536,0.471
BRA,2020,0.539,0.471
BRA,2021,0.528,0.481
BRA,2022,0.543,0.492
BGR,2008,0.626,0.617
BGR,2009,0.596,0.579
BGR,2010,0.576,0.555
BGR,2011,0.571,0.552
BGR,2012,0.568,0.545
BGR,2013,0.551,0.532
BGR,2014,0.569,0.557
BGR,2015,0.571,0.545
BGR,2016,0.567,0.547
BGR,2017,0.53,0.489
BGR,2018,0.517,0.486
BGR,2019,0.51,0.478
BGR,2020,0.502,0.497
BGR,2021,0.555,0.562
BGR,2022,0.616,0.595
CHN,2008,0.057,0.161
CHN,2009,0.057,0.164
CHN,2010,0.056,0.162
CHN,2011,0.055,0.164
CHN,2012,0.055,0.162
CHN,2013,0.053,0.15
CHN,2014,0.053,0.154
CHN,2015,0.052,0.149
CHN,2016,0.053,0.148
CHN,2017,0.05,0.14
CHN,2018,0.049,0.129
CHN,2019,0.048,0.119
CHN,2020,0.043,0.116
CHN,2021,0.044,0.116
CHN,2022,0.043,0.096
COL,2008,0.461,0.384
COL,2009,0.466,0.384
COL,2010,0.497,0.451
COL,2011,0.538,0.518
COL,2012,0.537,0.519
COL,2013,0.536,0.538
COL,2014,0.546,0.559
COL,2015,0.551,0.567
COL,2016,0.548,0.565
COL,2017,0.547,0.558
COL,2018,0.537,0.482
COL,2019,0.507,0.429
COL,2020,0.491,0.396
COL,2021,0.489,0.413
COL,2022,0.557,0.515
CUB,2008,0.042,0.075
CUB,2009,0.051,0.087
CUB,2010,0.052,0.087
CUB,2011,0.053,0.087
CUB,2012,0.053,0.091
CUB,2013,0.059,0.091
CUB,2014,0.059,0.091
CUB,2015,0.058,0.091
CUB,2016,0.058,0.083
CUB,2017,0.06,0.082
CUB,2018,0.062,0.104
CUB,2019,0.063,0.103
CUB,2020,0.061,0.104
CUB,2021,0.058,0.102
CUB,2022,0.058,0.102
DOM,2008,0.351,0.473
DOM,2009,0.351,0.475
DOM,2010,0.349,0.467
DOM,2011,0.338,0.462
DOM,2012,0.333,0.457
DOM,2013,0.324,0.418
DOM,2014,0.322,0.418
DOM,2015,0.314,0.415
DOM,2016,0.302,0.384
DOM,2017,0.291,0.365
DOM,2018,0.299,0.377
DOM,2019,0.3,0.381
DOM,2020,0.411,0.54
DOM,2021,0.458,0.599
DOM,2022,0.453,0.581
ECU,2008,0.354,0.482
ECU,2009,0.337,0.448
ECU,2010,0.319,0.419
ECU,2011,0.315,0.408
ECU,2012,0.316,0.396
ECU,2013,0.272,0.358
ECU,2014,0.266,0.35
ECU,2015,0.267,0.352
ECU,2016,0.271,0.352
ECU,2017,0.345,0.447
ECU,2018,0.471,0.5
ECU,2019,0.453,0.468
ECU,2020,0.476,0.445
ECU,2021,0.459,0.473
