Year,Nationality code,Unemployment %,Political and Violence Percentile,Probability of dying young,Regulatory Quality Percentile,Rule of Law Percentile,Voice and Accountability Percentile,Salaried workers %,GDP_growth,Inflation_annual
2008,DZA,11.33,14.9,3.7,29.13,24.52,20.67,67.41,2.4,15.31
2008,ARG,7.84,40.87,4.8,24.76,27.88,58.17,76.32,4.06,23.17
2008,BRA,8.27,33.65,8.1,54.37,46.63,63.94,66.28,5.09,8.78
2008,BGR,5.61,56.25,3.7,73.3,51.92,65.87,87.6,6.13,8.1
2008,CHN,4.59,29.33,2.9,48.54,37.98,5.77,45.96,9.65,7.8
2008,COL,11.27,5.77,8.6,59.71,42.31,42.79,49.56,3.28,7.68
2008,CUB,1.58,62.98,2.8,3.88,23.08,3.85,87.83,4.12,-0.34
2008,DOM,4.76,42.79,9.7,50.97,29.33,52.88,52.87,3.21,10.39
2008,ECU,3.92,20.67,7.6,14.08,12.98,40.38,54.91,6.36,13.85
2008,FRA,7.39,64.9,2.6,87.38,90.87,91.35,89.38,0.25,2.37
2008,DEU,7.52,79.81,2.0,92.23,94.23,93.75,88.35,0.96,0.91
2008,HND,3.16,28.37,7.6,45.15,18.75,37.5,49.47,4.23,7.79
2008,ITA,6.72,65.38,2.2,79.13,62.5,81.25,74.55,-0.96,2.4
2008,MAR,9.57,25.96,3.7,51.46,41.83,25.96,45.47,5.68,4.83
2008,NIC,6.2,37.5,7.5,38.35,24.04,34.62,50.62,3.44,16.2
2008,PAK,0.42,0.96,7.1,29.61,18.27,25.48,37.16,2.12,10.92
2008,PRY,4.42,21.15,7.8,35.92,20.67,44.71,51.93,6.5,12.22
2008,PER,4.03,17.31,5.1,61.65,25.96,52.4,44.47,9.13,1.1
2008,PRT,7.55,81.25,2.7,82.52,83.65,89.42,75.68,0.32,1.74
2008,ROU,5.79,50.48,3.9,67.48,53.85,62.02,67.42,9.31,16.02
2008,RUS,6.21,20.19,9.5,43.2,15.87,22.6,94.14,5.2,18.01
2008,SEN,10.24,39.42,8.7,43.69,47.12,40.87,27.51,3.7,8.22
2008,ESP,11.25,30.29,1.9,86.89,86.06,87.5,82.42,0.89,2.25
2008,UKR,6.36,45.67,7.0,33.98,27.4,50.48,81.95,2.24,29.02
2008,GBR,5.62,61.06,2.4,97.57,93.27,92.31,86.64,-0.23,3.4
2008,USA,5.78,66.83,4.7,93.2,92.31,86.54,92.98,0.12,1.92
2008,VEN,6.25,11.54,14.3,5.83,1.92,26.44,65.37,5.28,30.13
2009,DZA,10.16,13.27,3.6,18.18,23.22,17.54,67.14,1.6,-11.16
2009,ARG,8.65,36.97,4.9,22.49,30.33,56.4,75.96,-5.92,15.38
2009,BRA,9.42,51.18,8.1,55.98,51.18,62.56,66.78,-0.13,7.31
2009,BGR,6.82,55.92,3.6,73.21,54.03,64.93,87.52,-3.35,3.94
2009,CHN,4.72,30.81,2.9,43.54,41.23,4.74,46.89,9.4,-0.21
2009,COL,12.07,5.21,8.4,55.02,43.13,42.65,47.59,1.14,4.06
2009,CUB,1.67,56.4,2.8,3.83,28.91,4.27,88.34,1.45,0.63
2009,DOM,5.47,44.55,9.6,48.8,24.17,51.66,52.64,0.95,3.5
2009,ECU,4.61,23.22,7.4,7.66,10.43,39.34,54.34,0.57,0.66
2009,FRA,9.12,63.51,2.5,85.65,90.05,90.52,89.0,-2.87,0.07
2009,DEU,7.74,77.73,1.9,93.78,92.89,92.89,88.41,-5.69,1.84
2009,HND,3.29,33.18,7.5,42.58,19.91,30.33,47.34,-2.43,7.65
2009,ITA,7.75,54.5,2.1,78.47,62.56,81.52,75.03,-5.28,1.68
2009,MAR,8.96,31.28,3.6,51.67,46.92,27.96,45.34,3.75,-0.45
2009,NIC,8.16,33.65,7.3,35.89,25.12,34.12,50.62,-3.29,6.04
2009,PAK,0.54,1.42,6.8,30.14,22.27,24.17,36.94,3.47,12.37
2009,PRY,5.46,19.43,7.6,36.84,21.8,43.6,49.29,-0.26,3.65
2009,PER,3.96,13.74,5.0,62.68,31.75,51.18,44.86,1.1,2.06
2009,PRT,9.43,72.99,2.5,79.43,83.41,86.73,75.97,-3.12,1.1
2009,ROU,6.86,56.87,4.1,70.33,56.87,60.19,67.22,-5.52,4.09
2009,RUS,8.3,17.06,8.8,44.5,24.64,23.22,93.59,-7.8,1.97
2009,SEN,10.2,38.39,8.4,41.15,43.6,38.86,28.34,2.75,-1.69
2009,ESP,17.86,30.33,1.8,84.69,86.26,88.15,83.16,-3.76,0.14
2009,UKR,8.84,34.12,6.3,31.58,25.59,50.24,81.52,-15.14,12.63
2009,GBR,7.54,48.34,2.2,94.74,94.31,91.94,86.38,-4.61,1.89
2009,USA,9.25,61.61,4.5,89.95,91.94,84.83,92.91,-2.6,0.64
2009,VEN,6.1,12.32,14.4,4.31,2.37,24.64,64.75,-3.2,7.83
2010,DZA,9.96,11.85,3.5,13.88,25.12,18.48,67.1,3.6,16.12
2010,ARG,7.71,42.65,5.0,26.32,32.7,58.29,76.44,10.13,20.92
2010,BRA,8.43,45.97,8.0,59.81,55.45,65.88,67.6,7.53,8.42
2010,BGR,10.28,57.82,3.5,73.68,51.66,64.45,87.43,1.56,0.76
2010,CHN,4.53,25.59,2.8,40.67,38.86,5.21,47.89,10.64,6.88
2010,COL,11.15,8.53,8.2,55.5,46.92,42.65,46.25,4.49,3.8
2010,CUB,2.5,56.87,2.7,3.35,28.91,6.16,88.18,2.39,1.2
2010,DOM,5.21,44.55,9.4,50.72,23.22,51.18,52.49,8.34,5.44
2010,ECU,4.09,26.07,7.2,11.96,11.85,38.86,55.1,3.53,7.47
2010,FRA,9.28,68.72,2.4,86.6,90.52,90.05,88.47,1.95,1.07
2010,DEU,6.97,73.46,1.9,93.78,92.89,92.42,88.43,4.18,0.65
2010,HND,4.12,28.44,7.3,44.98,22.27,31.75,44.57,3.73,4.68
2010,ITA,8.36,62.56,2.0,77.51,63.98,75.83,74.72,1.71,0.44
2010,MAR,9.09,32.7,3.5,49.76,47.87,28.91,46.19,3.5,0.65
2010,NIC,7.83,27.96,7.2,42.11,24.17,33.18,51.14,4.41,6.14
2010,PAK,0.65,0.47,6.6,29.67,28.44,27.49,36.55,1.5,10.59
2010,PRY,4.57,21.33,7.5,39.71,24.64,45.97,52.66,11.1,4.66
2010,PER,3.6,16.59,4.9,64.11,34.6,52.61,44.67,8.33,5.71
2010,PRT,10.77,71.09,2.3,74.64,82.94,83.89,76.88,1.74,0.64
2010,ROU,6.96,54.03,4.0,73.21,58.29,59.24,64.83,-3.9,5.91
2010,RUS,7.37,18.48,8.3,41.63,26.54,23.7,93.24,4.5,14.19
2010,SEN,10.15,31.75,8.0,41.15,41.71,37.44,29.17,3.39,1.6
2010,ESP,19.86,33.65,1.6,84.21,85.78,85.31,83.31,0.16,0.15
2010,UKR,8.1,45.5,5.8,35.41,23.7,45.02,81.09,4.09,13.67
2010,GBR,7.79,60.19,2.1,97.61,95.73,91.94,85.98,2.24,1.58
2010,USA,9.63,60.66,4.3,91.87,92.42,85.78,92.95,2.71,1.2
2010,VEN,7.11,12.32,14.5,3.83,1.9,24.17,63.29,-1.49,45.94
2011,DZA,9.96,10.43,3.5,9.48,23.47,20.19,67.03,2.9,18.23
2011,ARG,7.18,52.13,5.1,26.54,33.33,58.22,76.9,6.0,23.7
2011,BRA,7.58,41.23,8.0,59.72,56.81,63.38,68.37,3.97,8.32
2011,BGR,11.26,55.92,3.4,69.19,51.17,61.5,87.89,2.09,6.11
2011,CHN,4.55,27.96,2.8,42.65,40.85,5.63,48.81,9.55,8.08
2011,COL,10.29,12.32,8.0,60.19,49.3,46.95,46.01,6.95,6.39
2011,CUB,3.18,55.45,2.7,3.32,29.58,6.1,81.47,2.8,4.32
2011,DOM,6.09,46.92,9.3,48.34,24.88,52.58,53.05,3.13,8.06
2011,ECU,3.46,25.59,6.9,19.43,12.68,37.09,53.45,7.87,5.66
2011,FRA,9.23,65.4,2.3,84.83,89.67,88.73,88.34,2.19,0.95
2011,DEU,5.82,71.56,1.8,92.89,92.02,93.43,88.34,3.93,1.07
2011,HND,4.47,34.12,7.2,49.29,20.19,31.92,47.1,3.84,7.81
2011,ITA,8.36,62.56,1.9,74.88,64.32,75.12,74.96,0.71,1.61
2011,MAR,8.91,33.65,3.4,47.87,46.95,27.7,45.69,5.52,-0.6
2011,NIC,6.62,38.39,7.0,39.34,28.64,29.58,51.7,6.32,10.21
2011,PAK,0.8,0.47,6.5,28.44,19.72,25.82,36.97,2.68,16.41
2011,PRY,4.67,25.12,7.4,40.28,25.35,46.01,53.39,4.29,5.1
2011,PER,3.48,21.8,4.8,63.98,32.39,53.52,45.12,6.33,6.75
2011,PRT,12.68,69.67,2.2,71.09,80.28,84.51,78.49,-1.7,-0.27
2011,ROU,7.18,53.55,3.9,73.93,57.75,58.69,66.81,4.52,3.98
2011,RUS,6.54,17.06,7.9,41.23,26.76,24.41,92.96,4.3,24.46
2011,SEN,10.36,37.91,7.6,43.6,40.38,40.38,29.9,1.33,3.86
2011,ESP,21.39,48.34,1.5,81.04,85.45,83.1,83.6,-0.81,-0.02
2011,UKR,7.85,43.6,5.4,32.23,23.0,44.6,80.73,5.45,14.18
