Country code,Year,Absence of Corruption,Civil Liberties,Educational equality,Health equality,Judicial accountability,Public sector corrupt exchanges
ARG,2008,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2009,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2010,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2011,0.51,0.8,0.56,0.62,0.37,0.46
ARG,2012,0.49,0.8,0.56,0.62,0.37,0.46
ARG,2013,0.48,0.79,0.56,0.62,0.31,0.46
ARG,2014,0.48,0.78,0.56,0.62,0.31,0.46
ARG,2015,0.49,0.76,0.56,0.62,0.31,0.43
ARG,2016,0.51,0.76,0.56,0.62,0.4,0.43
ARG,2017,0.51,0.75,0.6,0.62,0.49,0.43
ARG,2018,0.53,0.76,0.6,0.62,0.39,0.43
ARG,2019,0.53,0.76,0.6,0.62,0.39,0.45
ARG,2020,0.54,0.77,0.56,0.62,0.35,0.45
ARG,2021,0.53,0.78,0.56,0.62,0.35,0.45
ARG,2022,0.53,0.78,0.56,0.66,0.35,0.45
BGR,2008,0.53,0.75,0.65,0.68,0.36,0.48
BGR,2009,0.5,0.73,0.65,0.68,0.27,0.44
BGR,2010,0.51,0.74,0.65,0.68,0.21,0.44
BGR,2011,0.51,0.73,0.65,0.68,0.21,0.44
BGR,2012,0.51,0.74,0.65,0.68,0.21,0.44
BGR,2013,0.53,0.72,0.61,0.68,0.25,0.46
BGR,2014,0.54,0.72,0.58,0.68,0.32,0.46
BGR,2015,0.5,0.71,0.58,0.67,0.33,0.42
BGR,2016,0.5,0.71,0.58,0.67,0.28,0.42
BGR,2017,0.49,0.71,0.58,0.67,0.27,0.42
BGR,2018,0.49,0.7,0.58,0.67,0.27,0.42
BGR,2019,0.48,0.7,0.53,0.64,0.27,0.42
BGR,2020,0.48,0.68,0.54,0.64,0.27,0.42
BGR,2021,0.48,0.72,0.54,0.64,0.27,0.42
BGR,2022,0.55,0.71,0.56,0.68,0.35,0.49
BRA,2008,0.51,0.81,0.37,0.5,0.57,0.49
BRA,2009,0.51,0.82,0.37,0.5,0.57,0.49
BRA,2010,0.52,0.82,0.37,0.5,0.57,0.49
BRA,2011,0.52,0.82,0.37,0.5,0.57,0.49
BRA,2012,0.51,0.8,0.37,0.5,0.57,0.49
