Nationality code,Year,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths
DZA,2008,0,0,345,0
DZA,2009,36,0,508,0
DZA,2010,0,0,236,0
DZA,2011,0,0,261,0
DZA,2012,0,0,258,0
DZA,2013,26,51,149,0
DZA,2014,0,0,107,0
DZA,2015,0,18,110,0
DZA,2016,0,0,85,0
DZA,2017,16,22,60,0
DZA,2018,0,0,45,0
DZA,2019,0,0,0,0
DZA,2020,0,0,30,0
DZA,2021,0,0,13,0
DZA,2022,0,0,10,0
ARG,2008,0,0,0,0
ARG,2009,0,0,0,0
ARG,2010,0,0,0,0
ARG,2011,0,0,0,0
ARG,2012,0,0,0,0
ARG,2013,0,0,0,0
ARG,2014,0,0,0,0
ARG,2015,0,0,0,0
ARG,2016,0,0,0,0
ARG,2017,0,0,0,0
ARG,2018,0,0,0,0
ARG,2019,0,0,0,0
ARG,2020,0,0,0,0
ARG,2021,0,0,0,0
ARG,2022,0,0,0,0
BRA,2008,0,0,0,0
BRA,2009,0,40,0,0
BRA,2010,0,0,0,0
BRA,2011,0,31,0,0
BRA,2012,0,262,0,0
BRA,2013,0,0,0,0
BRA,2014,0,0,0,0
BRA,2015,0,65,0,0
BRA,2016,0,83,0,0
BRA,2017,0,2801,0,0
BRA,2018,0,2372,0,0
BRA,2019,0,1533,0,0
BRA,2020,0,2463,0,0
BRA,2021,29,2295,0,0
BRA,2022,109,1371,0,0
BGR,2008,0,0,0,0
BGR,2009,0,0,0,0
BGR,2010,0,0,0,0
BGR,2011,0,0,0,0
BGR,2012,0,0,0,0
BGR,2013,0,0,0,0
BGR,2014,0,0,0,0
BGR,2015,0,0,0,0
BGR,2016,0,0,0,0
BGR,2017,0,0,0,0
BGR,2018,0,0,0,0
BGR,2019,0,0,0,0
BGR,2020,0,0,0,0
BGR,2021,0,0,0,0
BGR,2022,0,0,0,0
CHN,2008,51,0,36,0
CHN,2009,0,187,2,0
CHN,2010,0,0,0,0
CHN,2011,0,0,6,0
CHN,2012,0,0,109,0
CHN,2013,0,0,11,0
CHN,2014,0,0,23,0
CHN,2015,0,0,21,0
CHN,2016,18,0,0,0
CHN,2017,0,0,0,0
CHN,2018,0,0,0,0
CHN,2019,0,0,0,0
CHN,2020,0,0,0,0
CHN,2021,0,0,38,0
CHN,2022,0,0,0,0
COL,2008,27,0,209,0
COL,2009,30,0,367,0
COL,2010,0,0,397,0
COL,2011,0,0,198,0
COL,2012,0,0,211,0
COL,2013,0,0,140,0
COL,2014,0,0,119,0
COL,2015,0,0,130,0
COL,2016,0,0,29,0
COL,2017,37,0,0,0
COL,2018,55,0,129,0
COL,2019,0,0,106,0
COL,2020,91,0,23,0
COL,2021,87,0,110,0
COL,2022,0,36,73,0
CUB,2008,0,0,0,0
CUB,2009,0,0,0,0
CUB,2010,0,0,0,0
CUB,2011,0,0,0,0
CUB,2012,0,0,0,0
CUB,2013,0,0,0,0
CUB,2014,0,0,0,0
CUB,2015,0,0,0,0
CUB,2016,0,0,0,0
CUB,2017,0,0,0,0
CUB,2018,0,0,0,0
CUB,2019,0,0,0,0
CUB,2020,0,0,0,0
CUB,2021,0,0,0,0
CUB,2022,0,0,0,0
DOM,2008,0,0,0,0
DOM,2009,0,0,0,0
DOM,2010,0,0,0,0
DOM,2011,0,0,0,0
DOM,2012,0,0,0,0
DOM,2013,0,0,0,0
DOM,2014,0,0,0,0
DOM,2015,0,0,0,0
DOM,2016,0,0,0,0
DOM,2017,0,0,0,0
DOM,2018,0,0,0,0
DOM,2019,0,0,0,0
DOM,2020,0,0,0,0
DOM,2021,0,0,0,0
DOM,2022,0,0,0,0
ECU,2008,0,0,25,0
ECU,2009,0,0,0,0
ECU,2010,0,0,9,0
ECU,2011,0,0,0,0
ECU,2012,0,0,0,0
ECU,2013,0,0,0,0
ECU,2014,0,0,0,0
ECU,2015,0,0,0,0
ECU,2016,0,0,0,0
ECU,2017,0,0,0,0
ECU,2018,0,0,0,0
ECU,2019,0,0,2,0
ECU,2020,0,0,0,0
ECU,2021,0,291,0,0
ECU,2022,4,87,0,0
FRA,2008,0,0,0,0
FRA,2009,0,0,0,0
FRA,2010,0,0,0,0
FRA,2011,0,0,0,0
FRA,2012,0,0,0,0
FRA,2013,0,0,0,0
FRA,2014,0,0,0,0
FRA,2015,130,0,3,0
FRA,2016,87,0,0,0
FRA,2017,0,0,2,0
FRA,2018,9,0,4,0
FRA,2019,0,0,0,0
FRA,2020,0,0,0,0
FRA,2021,0,0,0,0
FRA,2022,0,0,0,0
DEU,2008,0,0,0,0
DEU,2009,0,0,0,0
DEU,2010,0,0,0,0
DEU,2011,0,0,0,0
DEU,2012,0,0,0,0
DEU,2013,0,0,0,0
DEU,2014,0,0,0,0
DEU,2015,0,0,0,0
DEU,2016,12,0,0,0
DEU,2017,0,0,0,0
DEU,2018,0,0,0,0
DEU,2019,0,0,0,0
DEU,2020,0,0,0,0
DEU,2021,0,0,0,0
DEU,2022,0,0,0,0
HND,2008,0,27,0,0
HND,2009,0,0,0,0
HND,2010,0,58,0,0
HND,2011,0,0,0,0
HND,2012,0,0,0,0
HND,2013,0,0,0,0
HND,2014,0,0,0,0
HND,2015,0,0,0,0
HND,2016,0,0,0,0
HND,2017,0,0,0,0
HND,2018,0,0,0,0
HND,2019,0,36,0,0
HND,2020,0,0,0,0
HND,2021,0,0,0,0
HND,2022,0,0,0,0
ITA,2008,0,0,0,0
ITA,2009,0,0,0,0
ITA,2010,0,0,0,0
ITA,2011,0,0,0,0
ITA,2012,0,0,0,0
ITA,2013,0,0,0,0
ITA,2014,0,0,0,0
ITA,2015,0,0,0,0
ITA,2016,0,0,0,0
ITA,2017,0,0,0,0
ITA,2018,0,0,0,0
ITA,2019,0,0,0,0
ITA,2020,0,0,0,0
ITA,2021,0,0,0,0
ITA,2022,0,0,0,0
MAR,2008,0,0,0,0
MAR,2009,0,0,0,0
MAR,2010,0,0,0,0
MAR,2011,0,0,0,0
MAR,2012,0,0,0,0
MAR,2013,0,0,0,0
MAR,2014,0,0,0,0
MAR,2015,0,0,0,0
MAR,2016,0,0,0,0
MAR,2017,0,0,0,0
MAR,2018,0,0,0,0
MAR,2019,0,0,0,0
MAR,2020,0,0,0,0
MAR,2021,0,0,0,0
MAR,2022,0,0,0,0
NIC,2008,0,0,0,0
NIC,2009,0,0,0,0
NIC,2010,0,0,0,0
NIC,2011,0,0,0,0
NIC,2012,0,0,0,0
NIC,2013,0,0,0,0
NIC,2014,0,0,0,0
NIC,2015,0,0,0,0
NIC,2016,0,0,0,0
NIC,2017,0,0,0,0
NIC,2018,0,0,0,0
NIC,2019,0,0,0,0
NIC,2020,0,0,0,0
NIC,2021,0,0,0,0
NIC,2022,0,0,0,0
PAK,2008,297,738,3570,0
PAK,2009,225,344,6945,0
PAK,2010,746,382,6099,0
