Nationality code,Year,Political regime
DZA,2008,3
DZA,2009,3
DZA,2010,3
DZA,2011,3
DZA,2012,3
DZA,2013,3
DZA,2014,3
DZA,2015,3
DZA,2016,3
DZA,2017,3
DZA,2018,3
DZA,2019,3
DZA,2020,3
DZA,2021,3
DZA,2022,3
ARG,2008,7
ARG,2009,7
ARG,2010,7
ARG,2011,7
ARG,2012,7
ARG,2013,7
ARG,2014,7
ARG,2015,7
ARG,2016,7
ARG,2017,7
ARG,2018,7
ARG,2019,7
ARG,2020,7
ARG,2021,7
ARG,2022,7
BRA,2008,7
BRA,2009,7
BRA,2010,7
BRA,2011,7
BRA,2012,7
BRA,2013,7
BRA,2014,7
BRA,2015,7
BRA,2016,7
BRA,2017,7
BRA,2018,6
BRA,2019,6
BRA,2020,6
BRA,2021,6
BRA,2022,6
BGR,2008,7
BGR,2009,7
BGR,2010,7
BGR,2011,7
BGR,2012,7
BGR,2013,7
BGR,2014,7
BGR,2015,7
BGR,2016,7
BGR,2017,7
BGR,2018,7
BGR,2019,7
BGR,2020,7
BGR,2021,7
BGR,2022,7
CHN,2008,0
CHN,2009,0
CHN,2010,0
CHN,2011,0
CHN,2012,0
CHN,2013,0
CHN,2014,0
CHN,2015,0
CHN,2016,0
CHN,2017,0
CHN,2018,0
CHN,2019,0
CHN,2020,0
CHN,2021,0
CHN,2022,0
COL,2008,6
COL,2009,6
COL,2010,6
COL,2011,6
COL,2012,6
COL,2013,6
COL,2014,6
COL,2015,6
COL,2016,6
COL,2017,6
COL,2018,6
COL,2019,6
COL,2020,6
COL,2021,6
COL,2022,6
CUB,2008,1
CUB,2009,1
CUB,2010,1
CUB,2011,1
CUB,2012,1
CUB,2013,1
CUB,2014,1
CUB,2015,1
CUB,2016,1
CUB,2017,1
CUB,2018,1
CUB,2019,1
CUB,2020,1
CUB,2021,1
CUB,2022,1
DOM,2008,7
DOM,2009,7
DOM,2010,7
DOM,2011,7
DOM,2012,7
DOM,2013,7
DOM,2014,7
DOM,2015,7
DOM,2016,7
DOM,2017,7
DOM,2018,7
DOM,2019,7
DOM,2020,7
DOM,2021,7
DOM,2022,7
ECU,2008,6
ECU,2009,6
ECU,2010,6
ECU,2011,6
ECU,2012,6
ECU,2013,6
ECU,2014,6
ECU,2015,6
ECU,2016,6
ECU,2017,6
ECU,2018,6
ECU,2019,6
ECU,2020,6
ECU,2021,6
ECU,2022,6
FRA,2008,7
FRA,2009,7
FRA,2010,7
FRA,2011,7
FRA,2012,7
FRA,2013,7
FRA,2014,7
FRA,2015,7
FRA,2016,7
FRA,2017,7
FRA,2018,7
FRA,2019,7
FRA,2020,7
FRA,2021,7
FRA,2022,7
DEU,2008,7
DEU,2009,7
DEU,2010,7
DEU,2011,7
DEU,2012,7
DEU,2013,7
DEU,2014,7
DEU,2015,7
DEU,2016,7
DEU,2017,7
DEU,2018,7
DEU,2019,7
DEU,2020,7
DEU,2021,7
DEU,2022,7
HND,2008,7
HND,2009,2
HND,2010,3
HND,2011,3
HND,2012,3
HND,2013,6
HND,2014,6
HND,2015,6
HND,2016,6
HND,2017,3
HND,2018,3
HND,2019,3
HND,2020,3
HND,2021,6
HND,2022,6
ITA,2008,7
ITA,2009,7
ITA,2010,7
ITA,2011,7
ITA,2012,7
ITA,2013,7
ITA,2014,7
ITA,2015,7
ITA,2016,7
ITA,2017,7
ITA,2018,7
ITA,2019,7
ITA,2020,7
ITA,2021,7
ITA,2022,7
MAR,2008,2
MAR,2009,2
MAR,2010,2
MAR,2011,2
MAR,2012,2
MAR,2013,2
MAR,2014,2
MAR,2015,2
MAR,2016,2
MAR,2017,2
MAR,2018,2
MAR,2019,2
MAR,2020,2
MAR,2021,2
MAR,2022,2
NIC,2008,6
NIC,2009,6
NIC,2010,6
NIC,2011,6
NIC,2012,6
NIC,2013,6
NIC,2014,6
NIC,2015,6
NIC,2016,3
NIC,2017,3
NIC,2018,3
NIC,2019,3
NIC,2020,3
NIC,2021,1
NIC,2022,1
PAK,2008,6
PAK,2009,6
PAK,2010,6
PAK,2011,6
PAK,2012,6
PAK,2013,6
PAK,2014,6
PAK,2015,6
PAK,2016,6
PAK,2017,6
PAK,2018,6
PAK,2019,6
PAK,2020,6
PAK,2021,6
PAK,2022,6
PRY,2008,6
PRY,2009,6
PRY,2010,6
PRY,2011,6
PRY,2012,6
PRY,2013,6
PRY,2014,6
PRY,2015,6
PRY,2016,6
PRY,2017,6
PRY,2018,6
PRY,2019,6
PRY,2020,6
PRY,2021,6
PRY,2022,6
PER,2008,7
PER,2009,7
PER,2010,7
PER,2011,7
PER,2012,7
PER,2013,7
PER,2014,7
PER,2015,7
PER,2016,7
PER,2017,7
PER,2018,7
PER,2019,7
PER,2020,7
PER,2021,7
PER,2022,6
PRT,2008,7
PRT,2009,7
PRT,2010,7
PRT,2011,7
PRT,2012,7
PRT,2013,7
PRT,2014,7
PRT,2015,7
PRT,2016,7
PRT,2017,7
PRT,2018,7
PRT,2019,7
PRT,2020,7
PRT,2021,7
PRT,2022,7
ROU,2008,7
ROU,2009,7
ROU,2010,7
ROU,2011,7
ROU,2012,7
ROU,2013,7
ROU,2014,7
ROU,2015,7
ROU,2016,7
ROU,2017,7
ROU,2018,7
ROU,2019,7
ROU,2020,7
ROU,2021,7
ROU,2022,7
RUS,2008,3
RUS,2009,3
RUS,2010,3
RUS,2011,3
RUS,2012,3
RUS,2013,3
RUS,2014,3
RUS,2015,3
RUS,2016,3
RUS,2017,3
RUS,2018,3
RUS,2019,3
RUS,2020,3
RUS,2021,3
RUS,2022,1
SEN,2008,7
SEN,2009,7
SEN,2010,7
SEN,2011,7
SEN,2012,7
SEN,2013,7
SEN,2014,7
SEN,2015,7
SEN,2016,7
SEN,2017,6
SEN,2018,6
SEN,2019,6
SEN,2020,6
SEN,2021,6
SEN,2022,6
ESP,2008,7
ESP,2009,7
ESP,2010,7
ESP,2011,7
ESP,2012,7
ESP,2013,7
ESP,2014,7
ESP,2015,7
ESP,2016,7
ESP,2017,7
ESP,2018,7
ESP,2019,7
ESP,2020,7
ESP,2021,7
ESP,2022,7
UKR,2008,6
UKR,2009,6
UKR,2010,6
UKR,2011,6
UKR,2012,6
UKR,2013,6
UKR,2014,6
UKR,2015,6
UKR,2016,6
UKR,2017,6
UKR,2018,6
UKR,2019,6
UKR,2020,6
UKR,2021,6
UKR,2022,6
GBR,2008,7
GBR,2009,7
GBR,2010,7
GBR,2011,7
GBR,2012,7
GBR,2013,7
GBR,2014,7
GBR,2015,7
GBR,2016,7
GBR,2017,7
GBR,2018,7
GBR,2019,7
GBR,2020,7
GBR,2021,7
GBR,2022,7
USA,2008,7
USA,2009,7
USA,2010,7
USA,2011,7
USA,2012,7
USA,2013,7
USA,2014,7
USA,2015,7
USA,2016,7
USA,2017,7
USA,2018,7
USA,2019,7
USA,2020,7
USA,2021,7
USA,2022,7
VEN,2008,3
VEN,2009,3
VEN,2010,3
VEN,2011,3
VEN,2012,3
VEN,2013,3
VEN,2014,3
VEN,2015,3
VEN,2016,3
VEN,2017,3
VEN,2018,1
VEN,2019,1
VEN,2020,1
VEN,2021,1
VEN,2022,1
