Country Code,Year,Sex,Number of residents
DEU,2022,Both,116122
DEU,2021,Both,109556
DEU,2020,Both,111937
DEU,2019,Both,111911
DEU,2018,Both,111495
DEU,2017,Both,111814
DEU,2016,Both,119820
DEU,2015,Both,130911
DEU,2014,Both,140511
DEU,2013,Both,181900
DEU,2012,Both,196878
DEU,2011,Both,195987
DEU,2010,Both,195824
DEU,2009,Both,191002
DEU,2008,Both,181174
DEU,2007,Both,164405
DEU,2006,Both,150490
DEU,2005,Both,133588
DEU,2004,Both,117250
DEU,2003,Both,130232
DEU,2002,Both,113808
DEU,2001,Both,99217
DEU,2000,Both,88651
DEU,1999,Both,75618
DEU,1998,Both,60495
DEU,2022,Males,55740
DEU,2021,Males,52640
DEU,2020,Males,53809
DEU,2019,Males,53878
DEU,2018,Males,53815
DEU,2017,Males,53992
DEU,2016,Males,58202
DEU,2015,Males,63883
DEU,2014,Males,69003
DEU,2013,Males,90254
DEU,2012,Males,98210
DEU,2011,Males,98066
DEU,2010,Males,98210
DEU,2009,Males,96070
DEU,2008,Males,91533
DEU,2007,Males,83229
DEU,2006,Males,76254
DEU,2005,Males,67475
DEU,2004,Males,58934
DEU,2003,Males,65175
DEU,2002,Males,56593
DEU,2001,Males,49007
DEU,2000,Males,43481
DEU,1999,Males,36764
DEU,1998,Males,29251
DEU,2022,Females,60382
DEU,2021,Females,56916
DEU,2020,Females,58128
DEU,2019,Females,58033
DEU,2018,Females,57680
DEU,2017,Females,57822
DEU,2016,Females,61618
DEU,2015,Females,67028
DEU,2014,Females,71508
DEU,2013,Females,91646
DEU,2012,Females,98668
DEU,2011,Females,97921
DEU,2010,Females,97614
DEU,2009,Females,94932
DEU,2008,Females,89641
DEU,2007,Females,81176
DEU,2006,Females,74236
DEU,2005,Females,66113
DEU,2004,Females,58316
DEU,2003,Females,65057
DEU,2002,Females,57216
DEU,2001,Females,50210
DEU,2000,Females,45170
DEU,1999,Females,38854
DEU,1998,Females,31244
BGR,2022,Both,114522
BGR,2021,Both,118120
BGR,2020,Both,122375
BGR,2019,Both,122813
BGR,2018,Both,124404
BGR,2017,Both,127669
BGR,2016,Both,133951
BGR,2015,Both,142328
BGR,2014,Both,151579
BGR,2013,Both,168997
BGR,2012,Both,176411
BGR,2011,Both,172926
BGR,2010,Both,169552
BGR,2009,Both,164717
BGR,2008,Both,153973
BGR,2007,Both,122057
BGR,2006,Both,101617
BGR,2005,Both,93037
BGR,2004,Both,69854
BGR,2003,Both,52838
BGR,2002,Both,29741
BGR,2001,Both,12035
BGR,2000,Both,3031
BGR,1999,Both,1831
BGR,1998,Both,1453
BGR,2022,Males,56296
BGR,2021,Males,58161
BGR,2020,Males,60324
BGR,2019,Males,60521
BGR,2018,Males,61501
BGR,2017,Males,63459
BGR,2016,Males,67124
BGR,2015,Males,72150
BGR,2014,Males,77880
BGR,2013,Males,88474
BGR,2012,Males,93399
BGR,2011,Males,92305
BGR,2010,Males,91211
BGR,2009,Males,89251
BGR,2008,Males,84187
BGR,2007,Males,66282
BGR,2006,Males,55767
BGR,2005,Males,52025
BGR,2004,Males,39390
BGR,2003,Males,30418
BGR,2002,Males,17495
BGR,2001,Males,7221
BGR,2000,Males,1582
BGR,1999,Males,969
BGR,1998,Males,757
BGR,2022,Females,58226
BGR,2021,Females,59959
BGR,2020,Females,62051
BGR,2019,Females,62292
BGR,2018,Females,62903
BGR,2017,Females,64210
BGR,2016,Females,66827
BGR,2015,Females,70178
BGR,2014,Females,73699
BGR,2013,Females,80523
BGR,2012,Females,83012
BGR,2011,Females,80621
BGR,2010,Females,78341
BGR,2009,Females,75466
BGR,2008,Females,69786
BGR,2007,Females,55775
BGR,2006,Females,45850
BGR,2005,Females,41012
BGR,2004,Females,30464
BGR,2003,Females,22420
BGR,2002,Females,12245
BGR,2001,Females,4814
BGR,2000,Females,1448
BGR,1999,Females,863
BGR,1998,Females,696
FRA,2022,Both,115320
FRA,2021,Both,109397
FRA,2020,Both,108275
FRA,2019,Both,103517
FRA,2018,Both,99013
FRA,2017,Both,96421
FRA,2016,Both,97587
FRA,2015,Both,99598
FRA,2014,Both,103552
FRA,2013,Both,117829
FRA,2012,Both,121637
FRA,2011,Both,122503
FRA,2010,Both,123870
FRA,2009,Both,120507
FRA,2008,Both,112610
FRA,2007,Both,100408
FRA,2006,Both,90021
FRA,2005,Both,77791
FRA,2004,Both,66858
FRA,2003,Both,69930
FRA,2002,Both,59811
FRA,2001,Both,51582
FRA,2000,Both,46375
FRA,1999,Both,40885
FRA,1998,Both,35867
FRA,2022,Males,57382
FRA,2021,Males,54310
FRA,2020,Males,53810
FRA,2019,Males,51482
FRA,2018,Males,49280
FRA,2017,Males,48010
FRA,2016,Males,48755
FRA,2015,Males,49832
FRA,2014,Males,51857
FRA,2013,Males,59160
FRA,2012,Males,61006
FRA,2011,Males,61497
FRA,2010,Males,62281
FRA,2009,Males,60625
FRA,2008,Males,56663
FRA,2007,Males,50249
FRA,2006,Males,44748
FRA,2005,Males,38238
FRA,2004,Males,32434
FRA,2003,Males,33592
FRA,2002,Males,28327
FRA,2001,Males,24066
FRA,2000,Males,21309
FRA,1999,Males,18418
FRA,1998,Males,15858
FRA,2022,Females,57938
FRA,2021,Females,55087
FRA,2020,Females,54465
FRA,2019,Females,52035
FRA,2018,Females,49733
FRA,2017,Females,48411
FRA,2016,Females,48832
FRA,2015,Females,49766
FRA,2014,Females,51695
FRA,2013,Females,58669
FRA,2012,Females,60631
FRA,2011,Females,61006
FRA,2010,Females,61589
FRA,2009,Females,59882
FRA,2008,Females,55947
FRA,2007,Females,50159
FRA,2006,Females,45273
FRA,2005,Females,39553
FRA,2004,Females,34424
FRA,2003,Females,36338
FRA,2002,Females,31484
FRA,2001,Females,27516
FRA,2000,Females,25067
FRA,1999,Females,22466
FRA,1998,Females,20009
ITA,2022,Both,275654
ITA,2021,Both,257256
ITA,2020,Both,252008
ITA,2019,Both,228283
ITA,2018,Both,206524
ITA,2017,Both,189780
ITA,2016,Both,182269
ITA,2015,Both,179363
ITA,2014,Both,180999
ITA,2013,Both,192431
ITA,2012,Both,191901
ITA,2011,Both,187993
ITA,2010,Both,184277
ITA,2009,Both,175316
ITA,2008,Both,157789
ITA,2007,Both,135108
ITA,2006,Both,115791
ITA,2005,Both,95377
ITA,2004,Both,77130
ITA,2003,Both,65396
ITA,2002,Both,46221
ITA,2001,Both,34689
ITA,2000,Both,27874
ITA,1999,Both,23789
ITA,1998,Both,19287
ITA,2022,Males,150405
ITA,2021,Males,141467
ITA,2020,Males,139228
ITA,2019,Males,126893
ITA,2018,Males,115800
ITA,2017,Males,107297
ITA,2016,Males,103602
ITA,2015,Males,102800
ITA,2014,Males,104284
ITA,2013,Males,111152
ITA,2012,Males,111214
ITA,2011,Males,109221
ITA,2010,Males,107440
ITA,2009,Males,102815
ITA,2008,Males,92962
ITA,2007,Males,79841
ITA,2006,Males,68455
ITA,2005,Males,56646
ITA,2004,Males,46125
ITA,2003,Males,39344
ITA,2002,Males,28099
ITA,2001,Males,21215
ITA,2000,Males,17079
ITA,1999,Males,14583
ITA,1998,Males,11802
ITA,2022,Females,125249
ITA,2021,Females,115789
ITA,2020,Females,112780
ITA,2019,Females,101390
ITA,2018,Females,90724
ITA,2017,Females,82483
ITA,2016,Females,78667
ITA,2015,Females,76563
ITA,2014,Females,76715
ITA,2013,Females,81279
ITA,2012,Females,80687
ITA,2011,Females,78772
ITA,2010,Females,76837
ITA,2009,Females,72501
ITA,2008,Females,64827
ITA,2007,Females,55267
ITA,2006,Females,47336
ITA,2005,Females,38731
ITA,2004,Females,31005
ITA,2003,Females,26052
ITA,2002,Females,18122
ITA,2001,Females,13474
ITA,2000,Females,10795
ITA,1999,Females,9206
ITA,1998,Females,7485
PRT,2022,Both,98874
PRT,2021,Both,97187
PRT,2020,Both,97628
PRT,2019,Both,93440
PRT,2018,Both,89616
PRT,2017,Both,88451
PRT,2016,Both,91371
PRT,2015,Both,98751
PRT,2014,Both,109708
PRT,2013,Both,129079
PRT,2012,Both,138682
PRT,2011,Both,140824
PRT,2010,Both,142520
PRT,2009,Both,140870
PRT,2008,Both,127199
PRT,2007,Both,100616
PRT,2006,Both,80635
PRT,2005,Both,66236
PRT,2004,Both,55769
PRT,2003,Both,56672
PRT,2002,Both,52055
PRT,2001,Both,47064
PRT,2000,Both,43339
PRT,1999,Both,39426
PRT,1998,Both,35960
PRT,2022,Males,55417
PRT,2021,Males,54749
PRT,2020,Males,55055
PRT,2019,Males,52813
PRT,2018,Males,50942
PRT,2017,Males,50710
PRT,2016,Males,52990
PRT,2015,Males,57882
PRT,2014,Males,65574
PRT,2013,Males,79114
PRT,2012,Males,86151
PRT,2011,Males,87956
PRT,2010,Males,89607
PRT,2009,Males,89218
PRT,2008,Males,80902
PRT,2007,Males,62107
