Year,Nationality code,Homicide Rate
2008,ARG,5.89
2008,BGR,2.24
2008,BRA,26.02
2008,CHN,1.11
2008,COL,36.84
2008,CUB,4.57
2008,DEU,1.02
2008,DOM,25.14
2008,DZA,0.95
2008,ECU,17.98
2008,ESP,0.89
2008,FRA,1.65
2008,GBR,1.47
2008,HND,54.99
2008,ITA,1.04
2008,MAR,1.35
2008,NIC,12.94
2008,PAK,6.49
2008,PRY,14.76
2008,ROU,1.47
2008,RUS,12.71
2008,UKR,5.35
2008,USA,5.39
2008,VEN,52.23
2009,ARG,6.49
2009,BGR,1.96
2009,BRA,26.46
2009,CHN,1.1
2009,COL,35.69
2009,CUB,5.01
2009,DEU,0.99
2009,DOM,24.62
2009,DZA,0.79
2009,ECU,17.81
2009,ESP,0.89
2009,FRA,1.32
2009,GBR,1.42
2009,HND,63.79
2009,ITA,0.99
2009,MAR,1.35
2009,NIC,13.9
2009,PAK,6.57
2009,PRY,14.4
2009,ROU,1.26
2009,RUS,12.33
2009,UKR,4.88
2009,USA,4.99
2009,VEN,49.37
2010,ARG,5.8
2010,BGR,1.95
2010,BRA,26.63
2010,CHN,0.99
2010,COL,34.49
2010,CUB,4.47
2010,DEU,0.98
2010,DOM,25.31
2010,DZA,0.71
2010,ECU,17.51
2010,ESP,0.86
2010,FRA,1.27
2010,GBR,1.44
2010,HND,73.79
2010,ITA,0.88
2010,MAR,1.39
2010,NIC,13.41
2010,PAK,6.78
2010,PRT,1.17
2010,PRY,12.85
2010,ROU,1.31
2010,RUS,11.65
2010,UKR,4.35
2010,USA,4.73
2010,VEN,45.55
2011,ARG,6.05
2011,BGR,1.7
2011,BRA,26.36
2011,CHN,0.89
2011,COL,35.59
2011,CUB,4.73
2011,DEU,0.91
2011,DOM,25.37
2011,DZA,0.77
2011,ECU,15.38
2011,ESP,0.82
2011,FRA,1.36
2011,GBR,1.3
2011,HND,82.39
2011,ITA,0.92
2011,MAR,1.34
2011,NIC,12.42
2011,PAK,6.98
2011,PER,5.49
2011,PRT,1.08
2011,PRY,11.24
2011,ROU,1.01
2011,RUS,11.28
2011,USA,4.67
2011,VEN,48.45
2012,ARG,6.31
2012,BGR,1.88
2012,BRA,28.2
2012,CHN,0.83
2012,COL,35.91
2012,CUB,5.49
2012,DEU,0.81
2012,DOM,22.61
2012,DZA,1.4
2012,ECU,12.41
2012,ESP,0.78
2012,FRA,1.24
2012,GBR,1.1
2012,HND,81.57
2012,ITA,0.88
2012,MAR,1.15
2012,NIC,11.16
2012,PAK,6.85
2012,PER,6.62
2012,PRT,1.16
2012,PRY,10.96
2012,ROU,1.05
2012,RUS,11.31
2012,UKR,5.14
2012,USA,4.69
2012,VEN,54.54
2013,ARG,7.25
2013,BGR,1.47
2013,BRA,28.18
2013,CHN,0.77
2013,COL,33.35
2013,CUB,5.95
2013,DEU,0.83
2013,DOM,19.47
2013,DZA,1.26
2013,ECU,10.97
2013,ESP,0.65
2013,FRA,1.23
2013,GBR,1.06
2013,HND,71.77
2013,ITA,0.83
2013,MAR,1.27
2013,NIC,9.71
2013,PAK,6.79
2013,PER,6.7
2013,PRT,1.38
2013,PRY,10.06
2013,ROU,1.09
2013,RUS,11.14
2013,USA,4.48
2014,ARG,7.54
2014,BGR,1.52
2014,BRA,29.36
2014,CHN,0.73
2014,COL,28.59
2014,CUB,5.29
2014,DEU,0.87
2014,DOM,17.6
2014,DZA,1.49
2014,ECU,8.21
2014,ESP,0.7
2014,FRA,1.25
2014,GBR,0.99
2014,HND,64.54
2014,ITA,0.79
2014,MAR,1.04
2014,NIC,8.46
2014,PAK,6.37
2014,PER,6.84
2014,PRT,0.88
2014,PRY,9.49
2014,ROU,1.63
2014,RUS,11.45
2014,UKR,6.3
2014,USA,4.4
2014,VEN,63.03
2015,ARG,6.56
2015,BGR,1.72
2015,BRA,28.36
2015,CHN,0.66
2015,COL,27.13
2015,CUB,5.46
2015,DEU,0.83
2015,DZA,1.38
2015,ECU,6.48
2015,ESP,0.65
2015,FRA,1.59
2015,GBR,1.09
2015,HND,55.39
2015,ITA,0.78
2015,MAR,1.24
2015,NIC,8.32
2015,PAK,4.5
2015,PER,7.32
2015,PRT,0.96
2015,PRY,9.99
2015,ROU,1.7
2015,RUS,11.51
2015,USA,4.89
2015,VEN,51.27
2016,ARG,6.01
2016,BGR,1.09
2016,BRA,29.59
2016,CHN,0.62
2016,COL,26.04
2016,CUB,5.04
2016,DEU,1.17
2016,DOM,15.35
2016,DZA,1.34
2016,ECU,5.83
2016,ESP,0.63
2016,FRA,1.22
2016,GBR,1.13
2016,HND,54.44
2016,ITA,0.67
2016,MAR,1.69
2016,NIC,7.09
2016,PAK,3.99
2016,PER,7.82
2016,PRT,0.64
2016,PRY,10.68
2016,ROU,1.55
2016,RUS,10.93
2016,USA,5.32
2016,VEN,56.62
2017,ARG,5.26
2017,BGR,1.43
2017,BRA,30.59
2017,CHN,0.57
2017,COL,25.43
2017,CUB,4.55
2017,DEU,0.98
2017,DOM,11.42
2017,DZA,1.27
2017,ECU,5.81
2017,ESP,0.66
2017,FRA,1.11
2017,GBR,1.19
2017,HND,40.14
2017,ITA,0.63
2017,MAR,2.14
2017,NIC,6.65
2017,PAK,3.81
2017,PER,7.87
2017,PRT,0.74
2017,PRY,8.51
2017,ROU,1.29
2017,RUS,9.14
2017,UKR,6.16
2017,USA,5.24
2017,VEN,47.98
2018,ARG,5.37
2018,BGR,1.29
2018,BRA,26.64
2018,CHN,0.53
2018,COL,23.88
2018,CUB,4.33
2018,DEU,0.95
2018,DOM,9.92
2018,DZA,1.35
2018,ECU,5.84
2018,ESP,0.62
2018,FRA,1.08
2018,GBR,1.16
2018,HND,37.87
2018,ITA,0.6
2018,MAR,1.42
2018,NIC,10.38
2018,PAK,3.75
2018,PER,7.61
2018,PRT,0.79
2018,PRY,7.71
2018,ROU,1.28
2018,RUS,8.21
2018,UKR,4.5
2018,USA,4.93
2019,ARG,5.16
2019,BGR,1.18
2019,BRA,20.81
2019,CHN,0.52
2019,COL,23.41
2019,CUB,4.42
2019,DEU,0.75
2019,DOM,9.43
2019,DZA,1.22
2019,ECU,6.84
2019,ESP,0.7
2019,FRA,1.17
2019,GBR,1.29
2019,HND,40.95
2019,ITA,0.53
2019,MAR,2.77
2019,NIC,7.73
2019,PAK,3.59
2019,PER,7.27
2019,PRT,0.71
2019,PRY,8.48
2019,ROU,1.25
2019,RUS,7.69
2019,UKR,4.12
2019,USA,4.99
2019,VEN,40.98
2020,ARG,5.37
2020,BGR,0.99
2020,BRA,22.38
2020,CHN,0.5
2020,COL,22.49
2020,DEU,0.94
2020,DOM,8.74
2020,DZA,1.51
2020,ECU,7.8
2020,ESP,0.7
2020,FRA,1.07
2020,GBR,1.04
2020,HND,35.7
2020,ITA,0.48
2020,MAR,2.92
2020,PAK,3.68
2020,PER,5.71
2020,PRT,0.79
2020,PRY,7.27
2020,ROU,1.45
2020,RUS,7.35
2020,UKR,3.87
2020,USA,6.42
2020,VEN,29.43
2021,ARG,4.62
2021,BGR,1.29
2021,BRA,21.26
2021,COL,25.67
2021,DEU,0.83
2021,DOM,10.54
2021,DZA,1.57
2021,ECU,14.02
2021,ESP,0.61
2021,FRA,1.14
2021,GBR,1.07
2021,HND,38.25
2021,ITA,0.51
2021,MAR,1.93
2021,NIC,11.01
2021,PAK,3.92
2021,PER,8.46
2021,PRT,0.8
2021,PRY,7.83
2021,ROU,1.26
2021,RUS,6.8
2021,UKR,3.84
2021,USA,6.81
2021,VEN,19.31
2022,ARG,4.31
2022,BGR,1.12
2022,BRA,20.61
2022,COL,25.27
2022,DEU,0.82
2022,DOM,12.37
2022,DZA,1.77
2022,ECU,26.99
2022,ESP,0.61
2022,FRA,1.27
2022,GBR,1.41
2022,HND,35.07
2022,ITA,0.55
2022,MAR,1.65
2022,PAK,4.21
2022,PRY,6.96
2022,ROU,1.26
2022,USA,6.38
2022,VEN,12.61
2008,BOL,8.52
2009,BOL,8.29
2010,BOL,12.67
2011,BOL,12.1
2012,BOL,11.77
2013,BOL,8.84
2014,BOL,8.8
2021,CHN,0.45
2022,CHN,0.4
2008,PRT,1.17
2009,PRT,1.2
2022,PRT,0.72
2013,VEN,79.0
2018,VEN,36.69
2020,CUB,4.38
2021,CUB,4.3
2022,CUB,4.34
2008,PER,5.27
2009,PER,5.38
2010,PER,5.4
2022,PER,7.08
2022,RUS,7.07
2011,UKR,4.88
2013,UKR,5.72
2015,UKR,6.16
