Year,Nationality code,Sex,Age group,Immigrant count
2008,DZA,Both,0 - 14,759
2008,PER,Males,35 - 44,2938
2008,PER,Males,45 - 54,1128
2008,PER,Males,55 - 64,265
2008,PER,Males,65+,156
2008,PER,Males,All,13799
2008,PRT,Both,0 - 14,1635
2008,PRT,Both,15 - 24,2969
2008,PER,Males,25 - 34,4703
2008,PRT,Both,25 - 34,4385
2008,PRT,Both,45 - 54,1558
2008,PRT,Both,55 - 64,451
2008,PRT,Both,65+,240
2008,PRT,Both,All,13954
2008,PRT,Females,0 - 14,787
2008,PRT,Females,15 - 24,1408
2008,PRT,Females,25 - 34,1526
2008,PRT,Both,35 - 44,2715
2008,PRT,Females,35 - 44,754
2008,PER,Males,15 - 24,2616
2008,PER,Females,All,13724
2008,PRY,Males,All,5971
2008,PER,Both,0 - 14,3950
2008,PER,Both,15 - 24,5282
2008,PER,Both,25 - 34,9242
2008,PER,Both,35 - 44,5648
2008,PER,Both,45 - 54,2319
2008,PER,Both,55 - 64,646
2008,PER,Males,0 - 14,1993
2008,PER,Both,65+,435
2008,PER,Females,0 - 14,1957
2008,PER,Females,15 - 24,2668
2008,PER,Females,25 - 34,4539
2008,PER,Females,35 - 44,2710
2008,PER,Females,45 - 54,1190
2008,PER,Females,55 - 64,380
2008,PER,Females,65+,279
2008,PER,Both,All,27523
2008,PRT,Females,45 - 54,432
2008,PRT,Females,55 - 64,145
2008,PRT,Females,65+,141
2008,ROU,Females,45 - 54,2646
2008,ROU,Females,55 - 64,1015
2008,ROU,Females,65+,367
2008,ROU,Females,All,30387
2008,ROU,Males,0 - 14,5206
2008,ROU,Males,15 - 24,8990
2008,ROU,Males,25 - 34,8664
2008,ROU,Females,35 - 44,4299
2008,ROU,Males,35 - 44,4769
2008,ROU,Males,55 - 64,699
2008,ROU,Males,65+,165
2008,ROU,Males,All,30875
2008,RUS,Both,0 - 14,1222
2008,RUS,Both,15 - 24,1026
2008,RUS,Both,25 - 34,1349
2008,RUS,Both,35 - 44,933
2008,ROU,Males,45 - 54,2381
2008,ROU,Females,25 - 34,7024
2008,ROU,Females,15 - 24,10190
2008,ROU,Females,0 - 14,4844
2008,PRT,Females,All,5193
2008,PRT,Males,0 - 14,849
2008,PRT,Males,15 - 24,1561
2008,PRT,Males,25 - 34,2860
2008,PRT,Males,35 - 44,1962
2008,PRT,Males,45 - 54,1125
2008,PRT,Males,55 - 64,305
2008,PRT,Males,65+,99
2008,PRT,Males,All,8761
2008,ROU,Both,0 - 14,10051
2008,ROU,Both,15 - 24,19180
2008,ROU,Both,25 - 34,15689
2008,ROU,Both,35 - 44,9068
2008,ROU,Both,45 - 54,5027
2008,ROU,Both,55 - 64,1714
2008,ROU,Both,65+,532
2008,ROU,Both,All,61262
2008,PRY,Males,65+,20
2008,RUS,Both,45 - 54,759
2008,PRY,Males,55 - 64,72
2008,PRY,Males,35 - 44,787
2008,NIC,Females,25 - 34,838
2008,NIC,Females,35 - 44,514
2008,NIC,Females,45 - 54,175
2008,NIC,Females,55 - 64,30
2008,NIC,Females,65+,5
2008,NIC,Females,All,2114
2008,NIC,Males,0 - 14,67
2008,NIC,Females,15 - 24,481
2008,NIC,Males,15 - 24,205
2008,NIC,Males,35 - 44,127
2008,NIC,Males,45 - 54,36
2008,NIC,Males,55 - 64,5
2008,NIC,Males,65+,1
2008,NIC,Males,All,779
2008,PAK,Both,0 - 14,1240
2008,PAK,Both,15 - 24,2205
2008,NIC,Males,25 - 34,337
2008,PAK,Both,25 - 34,3465
2008,NIC,Females,0 - 14,71
2008,NIC,Both,65+,6
2008,MAR,Females,65+,392
2008,MAR,Females,All,31222
2008,MAR,Males,0 - 14,6807
2008,MAR,Males,15 - 24,11529
2008,MAR,Males,25 - 34,14627
2008,MAR,Males,35 - 44,5413
2008,MAR,Males,45 - 54,1464
2008,NIC,Both,All,2893
2008,MAR,Males,55 - 64,431
2008,MAR,Males,All,40539
2008,NIC,Both,0 - 14,138
2008,NIC,Both,15 - 24,686
2008,NIC,Both,25 - 34,1175
2008,NIC,Both,35 - 44,641
2008,NIC,Both,45 - 54,211
2008,NIC,Both,55 - 64,35
2008,MAR,Males,65+,267
2008,PAK,Both,35 - 44,1486
2008,PAK,Both,45 - 54,418
2008,PAK,Both,55 - 64,50
2008,PRY,Both,35 - 44,2417
2008,PRY,Both,45 - 54,1168
2008,PRY,Both,55 - 64,302
2008,PRY,Both,65+,74
2008,PRY,Both,All,17407
2008,PRY,Females,0 - 14,884
2008,PRY,Females,15 - 24,4006
2008,PRY,Both,25 - 34,5928
2008,PRY,Females,25 - 34,3780
2008,PRY,Females,45 - 54,852
2008,PRY,Females,55 - 64,230
2008,PRY,Females,65+,54
2008,PRY,Females,All,11436
2008,PRY,Males,0 - 14,850
2008,PRY,Males,15 - 24,1778
2008,PRY,Males,25 - 34,2147
2008,PRY,Females,35 - 44,1631
2008,PRY,Both,15 - 24,5783
2008,PRY,Both,0 - 14,1734
2008,PAK,Males,All,7299
2008,PAK,Both,65+,8
2008,PAK,Both,All,8872
2008,PAK,Females,0 - 14,480
2008,PAK,Females,15 - 24,315
2008,PAK,Females,25 - 34,406
2008,PAK,Females,35 - 44,257
2008,PAK,Females,45 - 54,95
2008,PAK,Females,55 - 64,12
2008,PAK,Females,65+,5
2008,PAK,Females,All,1573
2008,PAK,Males,0 - 14,759
2008,PAK,Males,15 - 24,1889
2008,PAK,Males,25 - 34,3059
2008,PAK,Males,35 - 44,1229
2008,PAK,Males,45 - 54,322
2008,PAK,Males,55 - 64,38
2008,PAK,Males,65+,3
2008,PRY,Males,45 - 54,316
2008,RUS,Both,65+,135
2008,RUS,Both,All,5752
2008,RUS,Females,0 - 14,559
2008,GBR,Females,All,11477
2008,GBR,Males,0 - 14,1456
2008,GBR,Males,15 - 24,577
2008,GBR,Males,25 - 34,1394
2008,GBR,Males,35 - 44,1799
2008,GBR,Males,45 - 54,1989
2008,GBR,Males,55 - 64,3170
2008,GBR,Females,65+,1249
2008,GBR,Males,65+,1896
2008,USA,Both,0 - 14,766
2008,USA,Both,15 - 24,848
2008,USA,Both,25 - 34,831
2008,USA,Both,35 - 44,514
2008,USA,Both,45 - 54,298
2008,USA,Both,55 - 64,227
2008,USA,Both,65+,205
2008,GBR,Males,All,12281
2008,USA,Both,All,3690
2008,GBR,Females,55 - 64,3119
2008,GBR,Females,35 - 44,1591
2008,UKR,Males,35 - 44,500
2008,UKR,Males,45 - 54,276
2008,UKR,Males,55 - 64,80
2008,UKR,Males,65+,28
2008,UKR,Males,All,2984
2008,GBR,Both,0 - 14,2820
2008,GBR,Both,15 - 24,1391
2008,GBR,Females,45 - 54,1940
2008,GBR,Both,25 - 34,2794
2008,GBR,Both,45 - 54,3927
2008,GBR,Both,55 - 64,6290
2008,GBR,Both,65+,3146
2008,GBR,Both,All,23758
2008,GBR,Females,0 - 14,1365
2008,GBR,Females,15 - 24,813
2008,GBR,Females,25 - 34,1399
2008,GBR,Both,35 - 44,3391
2008,USA,Females,0 - 14,376
2008,USA,Females,15 - 24,466
2008,USA,Females,25 - 34,471
2008,VEN,Females,0 - 14,604
2008,VEN,Females,15 - 24,932
2008,VEN,Females,25 - 34,1690
2008,VEN,Females,35 - 44,732
2008,VEN,Females,45 - 54,478
2008,VEN,Females,55 - 64,302
2008,VEN,Females,65+,165
2008,VEN,Both,All,8693
2008,VEN,Females,All,4905
2008,VEN,Males,15 - 24,864
2008,VEN,Males,25 - 34,1384
2008,VEN,Males,35 - 44,526
2008,VEN,Males,45 - 54,258
2008,VEN,Males,55 - 64,120
2008,VEN,Males,65+,73
2008,VEN,Males,All,3788
2008,VEN,Males,0 - 14,561
2008,VEN,Both,65+,238
2008,VEN,Both,55 - 64,423
2008,VEN,Both,45 - 54,737
2008,USA,Females,35 - 44,228
2008,USA,Females,45 - 54,131
2008,USA,Females,55 - 64,109
2008,USA,Females,65+,90
2008,USA,Females,All,1873
2008,USA,Males,0 - 14,389
2008,USA,Males,15 - 24,381
2008,USA,Males,25 - 34,358
2008,USA,Males,35 - 44,285
2008,USA,Males,45 - 54,167
2008,USA,Males,55 - 64,118
2008,USA,Males,65+,115
2008,USA,Males,All,1816
2008,VEN,Both,0 - 14,1168
2008,VEN,Both,15 - 24,1796
2008,VEN,Both,25 - 34,3074
2008,VEN,Both,35 - 44,1257
2008,UKR,Males,25 - 34,713
2008,UKR,Males,15 - 24,720
2008,UKR,Males,0 - 14,668
2008,UKR,Females,All,3879
2008,SEN,Both,65+,9
2008,SEN,Both,All,10568
2008,SEN,Females,0 - 14,241
2008,SEN,Females,15 - 24,469
2008,SEN,Females,25 - 34,754
2008,SEN,Females,35 - 44,268
2008,SEN,Females,45 - 54,52
2008,SEN,Both,55 - 64,37
2008,SEN,Females,55 - 64,11
2008,SEN,Females,All,1800
2008,SEN,Males,0 - 14,457
2008,SEN,Males,15 - 24,2216
2008,SEN,Males,25 - 34,4444
2008,SEN,Males,35 - 44,1386
2008,SEN,Males,45 - 54,233
2008,SEN,Males,55 - 64,26
2008,SEN,Females,65+,4
2008,SEN,Both,45 - 54,285
2008,SEN,Both,35 - 44,1654
2008,SEN,Both,25 - 34,5197
2008,RUS,Females,15 - 24,724
2008,RUS,Females,25 - 34,1076
2008,RUS,Females,35 - 44,582
2008,RUS,Females,45 - 54,511
2008,RUS,Females,55 - 64,238
2008,RUS,Females,65+,99
2008,RUS,Females,All,3790
2008,RUS,Males,0 - 14,661
2008,RUS,Males,15 - 24,301
2008,RUS,Males,25 - 34,273
2008,RUS,Males,35 - 44,351
2008,RUS,Males,45 - 54,247
2008,RUS,Males,55 - 64,91
2008,RUS,Males,65+,36
2008,RUS,Males,All,1962
2008,SEN,Both,0 - 14,700
2008,SEN,Both,15 - 24,2684
2008,SEN,Males,65+,5
2008,MAR,Females,55 - 64,514
2008,SEN,Males,All,8768
2008,UKR,Both,0 - 14,1281
2008,UKR,Both,15 - 24,1626
2008,UKR,Both,25 - 34,1632
2008,UKR,Both,35 - 44,1131
2008,UKR,Both,45 - 54,805
2008,UKR,Both,55 - 64,279
2008,UKR,Both,65+,110
2008,UKR,Females,0 - 14,611
2008,UKR,Females,15 - 24,907
2008,UKR,Females,25 - 34,919
2008,UKR,Females,35 - 44,633
2008,UKR,Females,45 - 54,528
2008,UKR,Females,55 - 64,199
