Grupo 1,Grupo 2,p-valor,Diferencias?
0 - 14,15 - 24,1.6653759140962675e-08,Si
0 - 14,25 - 34,1.306031760252879e-29,Si
0 - 14,35 - 44,1.0,No
0 - 14,45 - 54,2.6048094991961984e-20,Si
0 - 14,55 - 64,1.580498401576708e-73,Si
0 - 14,65+,3.218531955787369e-110,Si
15 - 24,25 - 34,1.2627779927865186e-06,Si
15 - 24,35 - 44,3.759252447701069e-05,Si
15 - 24,45 - 54,3.1296151258731495e-54,Si
15 - 24,55 - 64,1.0191433662612614e-130,Si
15 - 24,65+,1.972533569801692e-178,Si
25 - 34,35 - 44,4.4204488057162764e-23,Si
25 - 34,45 - 54,1.1093295596947683e-97,Si
25 - 34,55 - 64,1.0172875774712734e-194,Si
25 - 34,65+,3.7240380613408484e-252,Si
35 - 44,45 - 54,1.835212654977399e-26,Si
35 - 44,55 - 64,7.314785094102973e-85,Si
35 - 44,65+,5.203596018360973e-124,Si
45 - 54,55 - 64,4.458760299649802e-17,Si
45 - 54,65+,1.1135732350708273e-36,Si
55 - 64,65+,0.000739536422557397,Si
