Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,DZA,Both,0 - 14,759,11.33,14.9,3.7,24.52,67.41,2.4,15.31,0.164,Africa,Africa,0.61,0.39,0,0,345,0,51922,3,0.95,44400000,0,0,0
2008,PER,Males,35 - 44,2938,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PER,Males,45 - 54,1128,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PER,Males,55 - 64,265,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PER,Males,65+,156,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PER,Males,All,13799,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PRT,Both,0 - 14,1635,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Both,15 - 24,2969,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PER,Males,25 - 34,4703,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PRT,Both,25 - 34,4385,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Both,45 - 54,1558,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Both,55 - 64,451,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Both,65+,240,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Both,All,13954,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Females,0 - 14,787,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Females,15 - 24,1408,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Females,25 - 34,1526,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PRT,Both,35 - 44,2715,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,127199,7,1.17,44400000,0,0,0
2008,PRT,Females,35 - 44,754,7.55,81.25,2.7,83.65,75.68,0.32,1.74,0.844,Europe,European Union,0.85,0.62,0,0,0,0,46297,7,1.17,44400000,0,0,0
2008,PER,Males,15 - 24,2616,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PER,Females,All,13724,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
2008,PRY,Males,All,5971,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,PER,Both,0 - 14,3950,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Both,15 - 24,5282,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Both,25 - 34,9242,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Both,35 - 44,5648,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Both,45 - 54,2319,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Both,55 - 64,646,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Males,0 - 14,1993,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,60185,7,5.27,44400000,1,0,0
2008,PER,Both,65+,435,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,121932,7,5.27,44400000,1,0,0
2008,PER,Females,0 - 14,1957,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
2008,PER,Females,15 - 24,2668,4.03,17.31,5.1,25.96,44.47,9.13,1.1,0.649,America,South America,0.4,0.44,0,0,40,0,61747,7,5.27,44400000,1,0,0
