Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,DZA,Both,0 - 14,759,761,709,1111
2008,PER,Males,35 - 44,2938,1693,1572,2422
2008,PER,Males,45 - 54,1128,769,576,907
2008,PER,Males,55 - 64,265,206,174,281
2008,PER,Males,65+,156,164,138,224
2008,PER,Males,All,13799,9106,9099,13543
2008,PRT,Both,0 - 14,1635,1558,1209,1873
2008,PRT,Both,15 - 24,2969,2324,2009,3080
2008,PER,Males,25 - 34,4703,2815,2437,3723
2008,PRT,Both,25 - 34,4385,3699,3709,5617
2008,PRT,Both,45 - 54,1558,1426,1119,1737
2008,PRT,Both,55 - 64,451,584,412,654
2008,PRT,Both,65+,240,302,185,298
2008,PRT,Both,All,13954,13101,9979,14826
2008,PRT,Females,0 - 14,787,622,439,695
2008,PRT,Females,15 - 24,1408,996,876,1367
2008,PRT,Females,25 - 34,1526,1390,1232,1909
2008,PRT,Both,35 - 44,2715,2447,2233,3416
2008,PRT,Females,35 - 44,754,797,657,1032
2008,PER,Males,15 - 24,2616,2138,1820,2797
2008,PER,Females,All,13724,11682,12547,18560
2008,PRY,Males,All,5971,5243,4002,6053
2008,PER,Both,0 - 14,3950,4067,3520,5336
2008,PER,Both,15 - 24,5282,4986,3921,5933
2008,PER,Both,25 - 34,9242,6466,6142,9211
2008,PER,Both,35 - 44,5648,3648,3815,5775
2008,PER,Both,45 - 54,2319,1760,1597,2461
2008,PER,Both,55 - 64,646,566,549,865
2008,PER,Males,0 - 14,1993,2114,1887,2897
2008,PER,Both,65+,435,419,360,572
2008,PER,Females,0 - 14,1957,2170,1861,2858
2008,PER,Females,15 - 24,2668,3170,2516,3840
2008,PER,Females,25 - 34,4539,4330,4136,6250
2008,PER,Females,35 - 44,2710,2299,2411,3683
2008,PER,Females,45 - 54,1190,1048,1090,1693
2008,PER,Females,55 - 64,380,360,309,492
2008,PER,Females,65+,279,299,202,326
2008,PER,Both,All,27523,18827,20576,30160
2008,PRT,Females,45 - 54,432,493,357,568
2008,PRT,Females,55 - 64,145,217,161,261
2008,PRT,Females,65+,141,151,102,168
2008,ROU,Females,45 - 54,2646,2423,2017,3092
2008,ROU,Females,55 - 64,1015,1076,1060,1647
2008,ROU,Females,65+,367,407,313,500
2008,ROU,Females,All,30387,34154,28417,41410
2008,ROU,Males,0 - 14,5206,4618,5457,8203
2008,ROU,Males,15 - 24,8990,10439,7048,10541
2008,ROU,Males,25 - 34,8664,9406,6849,10249
2008,ROU,Females,35 - 44,4299,4838,3911,5916
2008,ROU,Males,35 - 44,4769,5785,4606,6947
2008,ROU,Males,55 - 64,699,795,614,965
2008,ROU,Males,65+,165,228,167,270
2008,ROU,Males,All,30875,32316,25800,37662
2008,RUS,Both,0 - 14,1222,1316,1019,1585
2008,RUS,Both,15 - 24,1026,1057,733,1147
2008,RUS,Both,25 - 34,1349,1389,977,1521
2008,RUS,Both,35 - 44,933,1103,752,1176
2008,ROU,Males,45 - 54,2381,2573,1854,2848
