Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2008,PER,Males,35 - 44,2938,1867,1266,2219
2008,PER,Males,45 - 54,1128,755,534,993
2008,PER,Males,55 - 64,265,183,170,343
2008,PER,Males,65+,156,159,101,214
2008,PER,Males,25 - 34,4703,3088,2406,4054
2008,PRT,Females,0 - 14,787,583,440,829
2008,PRT,Females,15 - 24,1408,976,752,1365
2008,PRT,Females,25 - 34,1526,1165,970,1730
2008,PRT,Females,35 - 44,754,725,632,1160
2008,PER,Males,15 - 24,2616,1999,1636,2822
2008,PER,Males,0 - 14,1993,2089,1810,3104
2008,PER,Females,0 - 14,1957,2185,1910,3264
2008,PER,Females,15 - 24,2668,2497,1990,3393
2008,PER,Females,25 - 34,4539,3746,3019,5020
2008,PER,Females,35 - 44,2710,2176,1885,3224
2008,PER,Females,45 - 54,1190,1188,855,1537
2008,PER,Females,55 - 64,380,401,315,608
2008,PER,Females,65+,279,299,183,369
2008,PRT,Females,45 - 54,432,382,317,611
2008,PRT,Females,55 - 64,145,176,150,306
2008,PRT,Females,65+,141,129,103,218
2008,ROU,Females,45 - 54,2646,3017,2465,4148
2008,ROU,Females,55 - 64,1015,1230,1287,2253
2008,ROU,Females,65+,367,407,296,575
2008,ROU,Males,0 - 14,5206,6191,4294,6998
2008,ROU,Males,15 - 24,8990,8496,6055,9684
2008,ROU,Males,25 - 34,8664,7586,5890,9433
2008,ROU,Females,35 - 44,4299,5123,3998,6542
2008,ROU,Males,35 - 44,4769,5013,4029,6590
2008,ROU,Males,55 - 64,699,926,619,1138
2008,ROU,Males,65+,165,205,121,251
2008,ROU,Males,45 - 54,2381,2486,1714,2949
2008,ROU,Females,25 - 34,7024,8358,6332,10103
2008,ROU,Females,15 - 24,10190,9988,7285,11536
2008,ROU,Females,0 - 14,4844,5190,3785,6213
2008,PRT,Males,0 - 14,849,837,643,1179
2008,PRT,Males,15 - 24,1561,1041,860,1546
2008,PRT,Males,25 - 34,2860,1775,1271,2228
2008,PRT,Males,35 - 44,1962,1515,1096,1939
2008,PRT,Males,45 - 54,1125,742,468,877
2008,PRT,Males,55 - 64,305,287,196,392
2008,PRT,Males,65+,99,123,88,189
2008,PRY,Males,65+,20,15,10,26
2008,PRY,Males,55 - 64,72,59,50,113
2008,PRY,Males,35 - 44,787,547,391,743
2008,NIC,Females,25 - 34,838,803,780,1412
2008,NIC,Females,35 - 44,514,438,332,638
2008,NIC,Females,45 - 54,175,174,78,168
2008,NIC,Females,55 - 64,30,29,21,51
2008,NIC,Females,65+,5,3,3,8
2008,NIC,Males,0 - 14,67,118,65,143
2008,NIC,Females,15 - 24,481,461,397,754
2008,NIC,Males,15 - 24,205,175,126,261
2008,NIC,Males,35 - 44,127,89,76,164
2008,NIC,Males,45 - 54,36,31,15,38
2008,NIC,Males,55 - 64,5,3,3,9
2008,NIC,Males,65+,1,1,0,2
2008,NIC,Males,25 - 34,337,220,219,434
2008,NIC,Females,0 - 14,71,135,72,156
2008,MAR,Females,65+,392,431,352,675
2008,MAR,Males,0 - 14,6807,6593,4354,7091
2008,MAR,Males,15 - 24,11529,8642,6323,10089
2008,MAR,Males,25 - 34,14627,10709,7704,12164
2008,MAR,Males,35 - 44,5413,4813,3500,5770
2008,MAR,Males,45 - 54,1464,1725,1327,2319
2008,MAR,Males,55 - 64,431,501,560,1037
2008,MAR,Males,65+,267,335,296,575
2008,PRY,Females,0 - 14,884,1329,918,1644
2008,PRY,Females,15 - 24,4006,3063,1921,3282
2008,PRY,Females,25 - 34,3780,3340,2178,3693
2008,PRY,Females,45 - 54,852,748,541,1004
2008,PRY,Females,55 - 64,230,274,239,470
2008,PRY,Females,65+,54,54,51,114
2008,PRY,Males,0 - 14,850,1147,721,1312
2008,PRY,Males,15 - 24,1778,1776,1195,2103
2008,PRY,Males,25 - 34,2147,1556,1102,1949
2008,PRY,Females,35 - 44,1631,1422,1120,1979
2008,PAK,Females,0 - 14,480,421,212,422
2008,PAK,Females,15 - 24,315,518,316,610
2008,PAK,Females,25 - 34,406,564,539,1001
2008,PAK,Females,35 - 44,257,219,219,434
2008,PAK,Females,45 - 54,95,98,62,138
2008,PAK,Females,55 - 64,12,16,13,33
2008,PAK,Females,65+,5,6,3,10
2008,PAK,Males,0 - 14,759,1046,924,1654
2008,PAK,Males,15 - 24,1889,2364,1310,2291
2008,PAK,Males,25 - 34,3059,2900,2302,3889
2008,PAK,Males,35 - 44,1229,1215,997,1775
2008,PAK,Males,45 - 54,322,361,202,404
2008,PAK,Males,55 - 64,38,61,29,68
2008,PAK,Males,65+,3,6,4,13
2008,PRY,Males,45 - 54,316,217,157,319
2008,RUS,Females,0 - 14,559,696,507,945
2008,GBR,Males,0 - 14,1456,910,743,1349
2008,GBR,Males,15 - 24,577,678,649,1190
2008,GBR,Males,25 - 34,1394,1362,1223,2149
2008,GBR,Males,35 - 44,1799,1338,1161,2048
2008,GBR,Males,45 - 54,1989,1829,1502,2605
2008,GBR,Males,55 - 64,3170,2379,1958,3341
2008,GBR,Females,65+,1249,1174,978,1744
2008,GBR,Males,65+,1896,1814,1217,2140
2008,GBR,Females,55 - 64,3119,1956,2057,3500
2008,GBR,Females,35 - 44,1591,1162,979,1745
2008,UKR,Males,35 - 44,500,416,283,551
2008,UKR,Males,45 - 54,276,241,180,362
2008,UKR,Males,55 - 64,80,121,67,147
2008,UKR,Males,65+,28,40,20,48
2008,GBR,Females,45 - 54,1940,1512,1356,2367
2008,GBR,Females,0 - 14,1365,886,667,1220
2008,GBR,Females,15 - 24,813,949,750,1361
2008,GBR,Females,25 - 34,1399,1425,1315,2301
2008,USA,Females,0 - 14,376,469,302,585
2008,USA,Females,15 - 24,466,1036,616,1133
2008,USA,Females,25 - 34,471,676,555,1028
2008,VEN,Females,0 - 14,604,538,518,964
2008,VEN,Females,15 - 24,932,1029,645,1183
2008,VEN,Females,25 - 34,1690,1656,1065,1888
2008,VEN,Females,35 - 44,732,767,540,1002
2008,VEN,Females,45 - 54,478,446,325,626
2008,VEN,Females,55 - 64,302,352,300,581
2008,VEN,Females,65+,165,171,169,341
2008,VEN,Males,15 - 24,864,852,465,872
2008,VEN,Males,25 - 34,1384,1372,768,1391
2008,VEN,Males,35 - 44,526,481,366,699
2008,VEN,Males,45 - 54,258,207,168,341
2008,VEN,Males,55 - 64,120,127,120,250
2008,VEN,Males,65+,73,81,87,186
2008,VEN,Males,0 - 14,561,600,544,1009
2008,USA,Females,35 - 44,228,329,207,413
2008,USA,Females,45 - 54,131,217,122,253
2008,USA,Females,55 - 64,109,131,96,204
2008,USA,Females,65+,90,75,78,168
2008,USA,Males,0 - 14,389,526,289,562
2008,USA,Males,15 - 24,381,584,486,910
2008,USA,Males,25 - 34,358,628,449,844
2008,USA,Males,35 - 44,285,345,180,363
2008,USA,Males,45 - 54,167,226,104,220
2008,USA,Males,55 - 64,118,135,89,189
2008,USA,Males,65+,115,84,89,190
2008,UKR,Males,25 - 34,713,726,498,930
2008,UKR,Males,15 - 24,720,701,451,847
2008,UKR,Males,0 - 14,668,620,371,708
2008,RUS,Females,15 - 24,724,615,516,961
2008,RUS,Females,25 - 34,1076,968,778,1408
2008,RUS,Females,35 - 44,582,693,542,1006
2008,RUS,Females,45 - 54,511,511,382,727
2008,RUS,Females,55 - 64,238,317,218,433
2008,RUS,Females,65+,99,133,102,215
2008,RUS,Males,0 - 14,661,666,481,901
2008,RUS,Males,15 - 24,301,233,207,412
2008,RUS,Males,25 - 34,273,363,278,541
2008,RUS,Males,35 - 44,351,408,295,573
2008,RUS,Males,45 - 54,247,279,239,471
2008,RUS,Males,55 - 64,91,169,100,211
2008,RUS,Males,65+,36,57,35,81
2008,MAR,Females,55 - 64,514,583,658,1205
2008,UKR,Females,0 - 14,611,481,465,872
2008,UKR,Females,15 - 24,907,867,744,1350
2008,UKR,Females,25 - 34,919,1124,822,1483
2008,UKR,Females,35 - 44,633,707,450,847
2008,UKR,Females,45 - 54,528,476,379,721
2008,UKR,Females,55 - 64,199,298,186,373
2008,UKR,Females,65+,82,101,58,128
2008,MAR,Females,45 - 54,1376,1654,1281,2244
2008,MAR,Females,25 - 34,9527,8949,5407,8700
2008,CHN,Females,0 - 14,1853,2455,1230,2160
2008,CHN,Females,15 - 24,2482,3438,1657,2857
2008,CHN,Females,25 - 34,2715,2521,1944,3319
2008,CHN,Females,35 - 44,1963,1416,1061,1881
2008,CHN,Females,45 - 54,458,673,535,995
2008,CHN,Females,55 - 64,202,196,250,491
2008,CHN,Females,65+,111,135,129,268
2008,CHN,Males,0 - 14,2213,2214,1395,2431
2008,CHN,Males,15 - 24,2536,2352,1929,3295
2008,CHN,Males,25 - 34,2691,2062,2085,3544
